Player Summary Statistics,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 25 November 2015,,,,,,,,,,,,,,,
GROUP D - Borussia-Park - Monchengladbach,,,,,,,,,,,,,,,
VfL Borussia Mönchengladbach,,,,,,,4 - 2,,,,,,Sevilla FC,,
,,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,
,Yann Sommer,1,"92'11""",,,,,,,,,,,,
,Andreas Christensen,3,"92'11""",,,,,,,,,,,,
,Håvard Nordtveit,6,"92'11""",,,,,,1,,,,,,
,Mahmoud Dahoud,8,"78'46""",,,,,3,1,1,1,,1,,
,Raffael,11,"92'11""",1,4,,,1,2,2,1,1,,,
,Lars Stindl,13,"92'11""",2,4,,,1,,,,,,,
,Ibrahima Traoré,16,"12'51""",,1,,,1,1,,,,,,
,Oscar Wendt,17,"92'11""",,,,,1,1,1,,,,,
,Fabian Johnson,19,"86'25""",1,2,,,,,,,,,,
,Julian Korb,27,"92'11""",,,,,1,,1,,,,,
,Granit Xhaka,34,"92'11""",,2,,,,,2,,,,,
,Tobias Sippel,21,,,,,,,,,,,,,
,Josip Drmic,9,"79'19""",,,,,,,3,,,1,,
,Thorgan Hazard,10,,,,,,,,,,,,,
,Marvin Schulz,18,"13'25""",,,,,,,,,,,,
,Tony Jantschke,24,,,,,,,,,,,,,
,Nico Elvedi,30,"5'45""",,,,,,,,,,,,
,Branimir Hrgota,31,,,,,,,,,,,,,
,,M,G,T,P,B,W,AB,FC,FS,O,Y,R,,
,,"92'11""",,,,,,,,,,,,1,Sergio Rico
,,"92'11""",,,,,,,,,1,,,2,Benoît Trémoulinas
,,"92'11""",,,,,,,,,,,,3,Adil Rami
,,"92'11""",,,,,1,1,2,5,,,,4,Grzegorz Krychowiak
,,"92'11""",,,,,,,,,,,,5,Timothée Kolodziejczak
,,"63'41""",,,,,,1,,,,,,7,Michael Krohn-Dehli
,,"75'24""",,1,,,1,1,,,,,,9,Kevin Gameiro
,,"92'11""",1,2,,,1,1,,1,,1,,19,Éver Banega
,,"92'11""",1,1,,,,1,,3,,,,20,Vitolo
,,"92'11""",,2,,,1,,,1,,,,22,Yevhen Konoplyanka
,,"81'57""",,,,,1,,,,,,,23,Coke
,,,,,,,,,,,,,,31,David Soria
,,,,,,,,,,,,,,8,Vicente Iborra
,,,,,,,,,,,,,,11,Ciro Immobile
,,"28'29""",,,,,,,,,,,,15,Steven N'Zonzi
,,,,,,,,,,,,,,18,Sergio Escudero
,,"16'47""",,,,,1,,,,,,,24,Fernando Llorente
,,"10'14""",,,,,,,,,,,,25,Mariano Ferreira
M,Minutes played,G,Goals scored,,,T,Attempts on target,,,P,Attempts hitting post,,,,
B,Attempts hitting bar,W,Other attempts off target,,,AB,Attempts blocked,,,FC,Fouls committed,,,,01:46:03CET
FS,Fouls suffered,O,Offsides,,,Y,Yellow cards,,,R,Red cards,,,,26 Nov 2015
UEFA Media Information,,,,,,,,,,,,,,,
