AFC Ajax - Paris Saint-Germain,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Amsterdam ArenA, Amsterdam",,,,
Squad list,,,,,,,,,,,,,,,
AFC Ajax,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
22,Jasper Cillessen,NED 22/04/1989,,25,-,-,-,-,-,-,-,5,-,8,-
31,Peter Leeuwenburgh,NED 23/03/1994,,20,-,-,-,-,-,-,-,-,-,-,-
33,Diederik Boer,NED 24/09/1980,,33,-,-,-,-,-,-,-,-,-,2,-
Defenders,,,,,,,,,,,,,,,
2,Ricardo van Rhijn,NED 13/06/1991,,23,-,-,-,-,-,-,-,12,-,18,1
3,Joël Veltman,NED 15/01/1992,,22,-,-,-,-,-,-,-,3,-,4,-
4,Niklas Moisander,FIN,29/09/1985,28,-,-,-,-,-,-,-,15,2,40,3
5,Nicolai Boilesen,DEN 16/02/1992,,22,-,-,-,-,-,-,-,5,-,6,-
6,Mike van der Hoorn,NED 15/10/1992,,21,-,-,-,-,-,-,-,4,-,5,-
12,Jairo Riedewald,NED 09/09/1996,,18,-,-,-,-,-,-,-,-,-,1,-
23,Kenny Tete,NED 09/10/1995,,18,-,-,-,-,-,-,-,-,-,-,-
24,Stefano Denswil,NED 07/05/1993,,21,-,-,-,-,-,-,-,6,1,7,1
26,Nick Viergever,NED 03/08/1989,,25,-,-,-,-,-,-,-,-,-,32,2
29,Ruben Ligeon,NED 24/05/1992,,22,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
8,Lerin Duarte,NED 11/08/1990,,24,-,-,-,-,-,-,-,3,-,5,-
10,Davy Klaassen,NED 21/02/1993,,21,-,-,-,-,-,-,-,5,-,8,1
20,Lasse Schöne,DEN 27/05/1986,,28,-,-,-,-,-,-,-,11,2,20,3
25,Thulani Serero,RSA 11/04/1990,,24,-,-,-,-,-,-,-,6,1,8,1
27,Riechedly Bazoer,NED 12/10/1996,,17,-,-,-,-,-,-,-,-,-,-,-
32,Niki Zimling,DEN 19/04/1985,,29,-,-,-,-,-,-,-,-,-,20,-
Forwards,,,,,,,,,,,,,,,
7,Viktor Fischer,DEN 09/06/1994,,20,-,-,-,-,-,-,-,8,-,11,-
9,Kolbeinn Sigthórsson,ISL,14/03/1990,24,-,-,-,-,-,-,-,7,-,20,3
11,Ricardo Kishna,NED 04/01/1995,,19,-,-,-,-,-,-,-,-,-,1,-
16,Lucas Andersen,DEN 13/09/1994,,20,-,-,-,-,-,-,-,2,-,4,-
18,Robert Murić,CRO 12/03/1996,,18,-,-,-,-,-,-,-,-,-,-,-
19,Arkadiusz Milik,POL 28/02/1994,,20,-,-,-,-,-,-,-,-,-,2,-
21,Anwar El Ghazi,NED 03/05/1995,,19,-,-,-,-,-,-,-,-,-,-,-
30,Richairo Zivkovic,NED 05/09/1996,,18,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,Frank de Boer,NED 15/05/1970,,44,-,-,-,-,-,-,-,19,-,29,-
,,,,,,,,,,,,,,,6
