FC Barcelona - APOEL FC,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,,"Camp Nou, Barcelona",,,
APOEL FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
22,Dionisios Chiotis,GRE 04/06/1977,,37,-,-,-,-,-,-,-,20,-,65,-
78,Urko Pardo,ESP 28/01/1983,,31,-,4,-,-,-,2,-,5,-,20,-
88,Tasos Kissas,CYP 18/01/1988,,26,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
3,João Guilherme,BRA 21/04/1986,,28,-,4,-,-,-,2,-,-,-,29,-
5,Carlão,BRA 19/01/1986,,28,-,4,-,-,-,1,-,-,-,6,-
6,John Arne Riise,NOR 24/09/1980,,33,-,-,-,-,-,-,-,73,3,119,7
15,Marios Antoniades,CYP 14/05/1990,,24,-,4,-,-,-,2,-,-,-,5,-
23,Tasos Papazoglou,GRE 24/09/1988,,25,-,2,-,-,-,2,-,1,-,4,-
25,Andreas Christofides,CYP 14/10/1992,,21,-,-,-,-,-,-,-,-,-,-,-
28,Mário Sérgio,POR 28/07/1981,,33,-,4,-,-,-,2,-,-,-,36,3
44,Nicholas Ioannou,CYP 10/11/1995,,18,-,1,-,-,-,-,-,-,-,1,-
73,Kaká,BRA 16/05/1981,,33,-,-,-,-,-,1,-,4,-,22,-
Midfielders,,,,,,,,,,,,,,,
4,Kostakis Artymatas,CYP 15/04/1993,,21,-,-,-,-,-,-,-,-,-,1,-
7,George Efrem,CYP 05/07/1989,,25,-,3,-,-,-,1,-,-,-,18,1
8,Tiago Gomes,POR 19/08/1985,,29,-,4,-,-,-,1,-,4,-,17,-
10,Constantinos Charalambides,CYP 25/07/1981,,33,-,3,-,-,-,-,-,16,1,77,8
11,Nektarios Alexandrou,CYP 19/12/1983,,30,-,1,-,-,-,1,-,10,-,65,6
16,Vinicius,BRA 16/05/1986,,28,-,4,2,-,-,2,-,-,-,14,2
21,Gustavo Manduca,BRA 08/06/1980,,34,-,2,-,-,-,2,2,12,4,58,10
26,Nuno Morais,POR 29/01/1984,,30,-,4,-,-,-,2,-,17,-,59,2
46,Stathis Aloneftis,CYP 29/03/1983,,31,-,1,1,-,-,2,-,-,-,38,4
Forwards,,,,,,,,,,,,,,,
9,Cillian Sheridan,IRL,23/02/1989,25,-,4,3,-,-,2,1,3,-,20,4
20,Pieros Sotiriou,CYP 13/01/1993,,21,-,1,-,-,-,-,-,-,-,5,-
30,Tomás De Vincenti,ARG 09/02/1989,,25,-,4,3,-,-,-,-,-,-,4,3
79,Rafik Djebbour,ALG 08/03/1984,,30,-,1,-,-,-,1,-,10,2,30,7
Coach,,,,,,,,,,,,,,,
-,Giorgos Donis,GRE 29/10/1969,,44,-,4,-,-,-,-,-,-,-,22,-
,,,,,,,,,,,,,,,7
