AS Monaco FC - Bayer 04 Leverkusen,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,"Stade Louis II, Monaco",,,
Squad list,,,,,,,,,,,,,,
AS Monaco FC,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
1,Danijel Subašić,CRO 27/10/1984,,29,-,-,-,-,5,-,-,-,14,-
16,Maarten Stekelenburg,NED 22/09/1982,,31,-,-,-,-,-,-,-,-,-,-
30,Seydou Sy,SEN 12/12/1995,,18,-,-,-,-,-,-,-,-,-,-
40,Marc-Aurèle Caillard,FRA 12/05/1994,,20,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
2,Fabinho,BRA 23/10/1993,,20,-,-,-,-,3,-,-,-,-,-
3,Layvin Kurzawa,FRA 04/09/1992,,22,-,-,-,-,4,-,-,-,-,-
5,Aymen Abdennour,TUN 06/08/1989,,25,-,-,-,-,2,-,-,-,2,-
6,Ricardo Carvalho,POR 18/05/1978,,36,-,-,-,-,4,-,80,3,90,3
13,Wallace,BRA 14/10/1994,,19,-,-,-,-,-,-,-,-,-,-
20,Borja López,ESP 02/02/1994,,20,-,-,-,-,-,-,-,-,-,-
21,Elderson,NGA 20/01/1988,,26,-,-,-,-,1,-,6,-,22,3
24,Andrea Raggi,ITA,24/06/1984,30,-,-,-,-,4,-,-,-,2,-
34,Abdou Diallo,FRA 04/05/1996,,18,-,-,-,-,-,-,-,-,-,-
38,Almamy Tourè,MLI,28/04/1996,18,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
7,Nabil Dirar,MAR 25/02/1986,,28,-,-,-,-,3,-,-,-,30,3
8,João Moutinho,POR 08/09/1986,,28,-,-,-,-,5,-,34,4,87,6
14,Tiemoué Bakayoko,FRA 17/08/1994,,20,-,-,-,-,1,-,-,-,-,-
15,Bernardo Silva,POR 10/08/1994,,20,-,-,-,-,1,-,-,-,-,-
22,Geoffrey Kondogbia,FRA 15/02/1993,,21,-,-,-,-,5,-,-,-,1,-
28,Jérémy Toulalan,FRA 10/09/1983,,31,-,-,-,-,4,-,42,-,52,-
29,Dolan Bahamboula,FRA 22/05/1995,,19,-,-,-,-,-,-,-,-,-,-
37,Abdou Aziz Thiam,FRA 15/01/1997,,17,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,
9,Dimitar Berbatov,BUL 30/01/1981,,33,-,-,-,-,5,2,51,12,79,33
11,Lucas Ocampos,ARG 11/07/1994,,20,-,-,-,-,5,1,-,-,-,-
17,Yannick Ferreira-Carrasco,BEL,04/09/1993,21,-,-,-,-,5,-,-,-,-,-
18,Valère Germain,FRA 17/04/1990,,24,-,-,-,-,5,-,-,-,-,-
19,Lacina Traoré,CIV,20/08/1990,24,-,-,-,-,-,-,6,2,28,9
23,Anthony Martial,FRA 05/12/1995,,18,-,-,-,-,4,-,-,-,1,-
27,Aboubakar Kamara,FRA 07/03/1995,,19,-,-,-,-,1,-,-,-,-,-
Coach,,,,,,,,,,,,,,
-,Leonardo Jardim,POR 01/08/1974,,40,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,7
