AS Roma - PFC CSKA Moskva,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Stadio Olimpico, Rome",,,
Squad list,,,,,,,,,,,,,,
AS Roma,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
12,Gianluca Curci,ITA,12/07/1985,29,-,-,-,-,-,-,1,-,15,-
26,Morgan De Sanctis,ITA,26/03/1977,37,-,-,-,-,2,-,15,-,49,-
28,Łukasz Skorupski,POL 05/05/1991,,23,-,-,-,-,-,-,-,-,-,-
92,Gabriele Marchegiani,ITA,03/06/1996,18,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
2,Mapou Yanga-Mbiwa,FRA 15/05/1989,,25,-,-,-,-,-,-,6,-,14,-
3,Ashley Cole,ENG 20/12/1980,,33,-,-,-,-,2,-,105,1,110,1
5,Leandro Castán,BRA 05/11/1986,,27,-,-,-,-,1,-,-,-,3,1
13,Maicon,BRA 26/07/1981,,33,-,-,-,-,1,-,54,4,65,5
23,Davide Astori,ITA,07/01/1987,27,-,-,-,-,2,-,-,-,-,-
25,José Holebas,GRE 27/06/1984,,30,-,-,-,-,-,-,18,1,27,1
35,Vassilis Torossidis,GRE 10/06/1985,,29,-,-,-,-,1,-,20,2,37,4
44,Kostas Manolas,GRE 14/06/1991,,23,-,-,-,-,2,-,13,2,27,4
50,Michele Somma,ITA,16/03/1995,19,-,-,-,-,-,-,-,-,-,-
90,Elio Capradossi,ITA,11/03/1996,18,-,-,-,-,-,-,-,-,-,-
91,Arturo Calabresi,ITA,17/03/1996,18,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
4,Radja Nainggolan,BEL 04/05/1988,,26,-,-,-,-,2,1,-,-,-,-
6,Kevin Strootman,NED 13/02/1990,,24,-,-,-,-,-,-,-,-,15,4
15,Miralem Pjanić,BIH,02/04/1990,24,-,-,-,-,2,-,21,5,25,6
16,Daniele De Rossi,ITA,24/07/1983,31,-,-,-,-,2,-,38,4,63,8
20,Seydou Keita,MLI,16/01/1980,34,-,-,-,-,2,-,54,5,99,7
24,Alessandro Florenzi,ITA,11/03/1991,23,-,-,-,-,2,-,-,-,-,-
32,Leandro Paredes,ARG 29/06/1994,,20,-,-,-,-,-,-,-,-,-,-
48,Salih Uçan,TUR 06/01/1994,,20,-,-,-,-,-,-,-,-,7,1
Forwards,,,,,,,,,,,,,,
7,Juan Manuel Iturbe,PAR 04/06/1993,,21,-,-,-,-,1,-,-,-,-,-
8,Adem Ljajić,SRB 29/09/1991,,22,-,-,-,-,2,-,-,-,13,2
9,Marco Borriello,ITA,18/06/1982,32,-,-,-,-,-,-,17,5,22,6
10,Francesco Totti,ITA,27/09/1976,37,-,-,-,-,1,-,50,15,88,36
22,Mattia Destro,ITA,20/03/1991,23,-,-,-,-,1,-,-,-,-,-
27,Gervinho,CIV,27/05/1987,27,-,-,-,-,2,1,11,2,31,7
Coach,,,,,,,,,,,,,,
-,Rudi García,FRA 20/02/1964,,50,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,6
