Athletic Club - FC Shakhtar Donetsk,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,"Estadio de San Mamés, Bilbao",,,,
Squad list,,,,,,,,,,,,,,
Athletic Club,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
1,Gorka Iraizoz,ESP 06/03/1981,,33,2,-,-,-,3,-,-,-,57,-
13,Iago Herrerín,ESP 25/01/1988,,26,-,-,-,-,-,-,-,-,-,-
28,Kepa Arrizabalaga,ESP 03/10/1994,,19,-,-,-,-,-,-,-,-,-,-
42,Alejandro Remiro,ESP 24/03/1995,,19,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
3,Jon Aurtenetxe,ESP 03/01/1992,,22,-,-,-,-,-,-,-,-,17,2
4,Aymeric Laporte,FRA 27/05/1994,,20,2,-,-,-,3,-,-,-,4,-
6,Mikel San José,ESP 30/05/1989,,25,2,-,-,-,2,-,-,-,19,3
12,Unai Bustinza,ESP 02/02/1992,,22,-,-,-,-,-,-,-,-,-,-
15,Andoni Iraola,ESP 22/06/1982,,32,-,-,-,-,1,-,-,-,41,2
16,Xabier Etxeita,ESP 31/10/1987,,26,-,-,-,-,-,-,-,-,1,-
18,Carlos Gurpegi,ESP 19/08/1980,,34,2,-,-,-,3,-,-,-,26,2
24,Mikel Balenziaga,ESP 29/02/1988,,26,2,-,-,-,3,-,-,-,2,-
31,Unai Bilbao,ESP 04/02/1994,,20,-,-,-,-,-,-,-,-,-,-
32,Markel Etxeberria,ESP 15/02/1995,,19,-,-,-,-,-,-,-,-,-,-
34,Marcos Llorente,ESP 30/01/1995,,19,-,-,-,-,-,-,-,-,-,-
36,Iñigo Lecue,ESP 04/05/1993,,21,-,-,-,-,-,-,-,-,-,-
44,Yerai Alvarez,ESP 24/01/1995,,19,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
5,Erik Morán,ESP 25/05/1991,,23,1,-,-,-,-,-,-,-,3,-
7,Beñat,ESP 19/02/1987,,27,2,-,-,-,3,-,-,-,2,-
8,Ander Iturraspe,ESP 08/03/1989,,25,2,-,-,-,3,1,-,-,29,-
10,Óscar de Marcos,ESP 14/04/1989,,25,2,-,-,-,2,-,-,-,32,6
11,Ibai Gómez,ESP 11/11/1989,,24,2,1,-,-,3,-,-,-,18,4
14,Markel Susaeta,ESP 14/12/1987,,26,2,-,-,-,2,-,-,-,35,9
17,Mikel Rico,ESP 04/11/1984,,29,2,-,-,-,3,-,-,-,2,-
19,Iker Muniain,ESP 19/12/1992,,21,2,1,-,-,3,1,-,-,35,9
23,Ager Aqueche,ESP 30/12/1993,,20,-,-,-,-,-,-,-,-,-,-
29,Unai Lopez,ESP 30/10/1995,,18,1,-,-,-,2,-,-,-,1,-
33,Óscar Gil,ESP 14/06/1995,,19,-,-,-,-,-,-,-,-,-,-
35,Gorka Iturraspe,ESP 03/05/1994,,20,-,-,-,-,-,-,-,-,-,-
39,Aitor Seguín,ESP 27/02/1995,,19,-,-,-,-,-,-,-,-,-,-
40,Iker Undabarrena,ESP 18/05/1995,,19,-,-,-,-,-,-,-,-,1,-
43,Martin Bengoa,ESP 21/11/1994,,19,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,
2,Gaizka Toquero,ESP 09/08/1984,,30,-,-,-,-,-,-,-,-,28,1
9,Kike Sola,ESP 25/02/1986,,28,-,-,-,-,-,-,-,-,-,-
20,Aritz Aduriz,ESP 11/02/1981,,33,2,2,-,-,3,1,12,3,26,8
21,Borja Viguera,ESP 26/03/1987,,27,-,-,-,-,2,-,-,-,-,-
,,,,,,,,,,,,,,6

Athletic Club - FC Shakhtar Donetsk,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,"Estadio de San Mamés, Bilbao",,,,
Athletic Club,,,,,,,,,,,,,
,,,,,Current season,,,,,,All-time,,
,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
22,Guillermo Fernández,ESP 23/05/1993,21,-,-,-,-,1,-,-,-,-,-
30,Iñaki Williams,ESP 15/06/1994,20,-,-,-,-,-,-,-,-,-,-
37,Nestor Salinas,ESP 28/02/1993,21,-,-,-,-,-,-,-,-,-,-
38,Gorka Santamaria,ESP 03/07/1995,19,-,-,-,-,-,-,-,-,-,-
41,Jurgi,ESP 29/08/1996,18,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,
-,Ernesto Valverde,ESP 06/02/1964,50,2,-,-,-,-,-,8,-,55,-
,,,,,,,,,,,,,7
