AS Monaco FC - Bayer 04 Leverkusen,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,"Stade Louis II, Monaco",,,
Bayer 04 Leverkusen,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
1,Bernd Leno,GER 04/03/1992,,22,2,-,-,-,3,-,16,-,24,-
25,Dario Krešić,CRO 11/01/1984,,30,-,-,-,-,-,-,-,-,26,-
36,Niklas Lomb,GER 28/07/1993,,21,-,-,-,-,-,-,-,-,1,-
Defenders,,,,,,,,,,,,,,
5,Emir Spahić,BIH,18/08/1980,34,2,-,-,-,3,1,6,-,22,-
13,Roberto Hilbert,GER 16/10/1984,,29,-,-,-,-,-,-,10,-,37,3
14,Kyriakos Papadopoulos,GRE 23/02/1992,,22,1,-,-,-,1,-,12,-,28,2
16,Tin Jedvaj,CRO 28/11/1995,,18,2,-,-,-,3,2,-,-,2,-
17,Sebastian Boenisch,POL 01/02/1987,,27,2,-,-,-,3,-,8,-,30,1
18,Wendell,BRA 20/07/1993,,21,-,-,-,-,-,-,-,-,-,-
21,Ömer Toprak,TUR 21/07/1989,,25,2,-,-,-,3,-,14,2,20,2
26,Giulio Donati,ITA,05/02/1990,24,1,-,-,-,1,-,6,-,7,-
Midfielders,,,,,,,,,,,,,,
3,Stefan Reinartz,GER 01/01/1989,,25,1,-,-,-,3,-,12,-,28,1
6,Simon Rolfes,GER 21/01/1982,,32,2,-,-,-,2,-,16,3,66,5
8,Lars Bender,GER 27/04/1989,,25,-,-,-,-,1,-,14,1,31,1
10,Hakan Çalhanoğlu,TUR 08/02/1994,,20,2,1,-,-,3,1,-,-,2,1
15,Levin Öztunali,GER 15/03/1996,,18,-,-,-,-,1,-,-,-,-,-
27,Gonzalo Castro,GER 11/06/1987,,27,2,-,-,-,3,-,15,-,55,5
35,Vladlen Yurchenko,UKR 22/01/1994,,20,-,-,-,-,-,-,-,-,-,-
38,Karim Bellarabi,GER 08/04/1990,,24,2,1,-,-,3,2,2,1,6,3
Forwards,,,,,,,,,,,,,,
7,Son Heung-Min,KOR 08/07/1992,,22,2,2,-,-,3,1,8,-,10,2
9,Josip Drmic,SUI,08/08/1992,22,2,-,-,-,1,-,-,-,7,-
11,Stefan Kiessling,GER 25/01/1984,,30,2,3,-,-,3,1,15,3,51,14
19,Julian Brandt,GER 02/05/1996,,18,1,-,-,-,2,1,2,-,3,-
23,Robbie Kruse,AUS 05/10/1988,,25,-,-,-,-,-,-,4,-,4,-
Coach,,,,,,,,,,,,,,
-,Roger Schmidt,GER 13/03/1967,,47,2,-,-,-,-,-,-,-,18,-
,,,,,,,,,,,,,,8
