Borussia Dortmund - Arsenal FC,,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,"BVB Stadion Dortmund, Dortmund",,,,
Squad list,,,,,,,,,,,,,,,
Borussia Dortmund,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Roman Weidenfeller,GER 06/08/1980,,34,-,-,-,-,-,2,-,28,-,47,-
22,Mitchell Langerak,AUS 22/08/1988,,26,-,-,-,-,-,1,-,2,-,2,-
33,Zlatan Alomerović,GER 15/06/1991,,23,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
3,Marc Hornschuh,GER 02/03/1991,,23,-,-,-,-,-,-,-,-,-,-,-
4,Neven Subotić,SRB 10/12/1988,,25,-,-,-,-,-,2,-,19,-,29,1
15,Mats Hummels,GER 16/12/1988,,25,-,-,-,-,-,-,-,23,2,32,3
25,Sokratis Papastathopoulos,GRE 09/06/1988,,26,-,-,-,-,-,3,1,11,-,25,-
26,Łukasz Piszczek,POL 03/06/1985,,29,-,-,-,-,-,3,-,24,-,46,4
28,Matthias Ginter,GER 19/01/1994,,20,-,-,-,-,-,1,-,-,-,5,1
29,Marcel Schmelzer,GER 22/01/1988,,26,-,-,-,-,-,-,-,23,1,31,1
37,Erik Durm,GER 12/05/1992,,22,-,-,-,-,-,3,-,7,-,7,-
Midfielders,,,,,,,,,,,,,,,
5,Sebastian Kehl,GER 13/02/1980,,34,-,-,-,-,-,3,-,31,1,48,3
6,Sven Bender,GER 27/04/1989,,25,-,-,-,-,-,2,-,20,-,27,-
7,Shinji Kagawa,JPN,17/03/1989,25,-,-,-,-,-,1,1,17,1,25,5
8,İlkay Gündoğan,GER 24/10/1990,,23,-,-,-,-,-,-,-,14,1,14,1
11,Marco Reus,GER 31/05/1989,,25,-,-,-,-,-,2,1,22,9,22,9
14,Miloš Jojić,SRB 19/03/1992,,22,-,-,-,-,-,3,-,3,-,14,1
16,Jakub Błaszczykowski,POL 14/12/1985,,28,-,-,-,-,-,-,-,21,3,39,3
18,Nuri Şahin,TUR 05/09/1988,,26,-,-,-,-,-,-,-,16,-,30,2
19,Kevin Grosskreutz,GER 19/07/1988,,26,-,-,-,-,-,3,-,25,2,32,2
21,Oliver Kirch,GER 21/08/1982,,32,-,-,-,-,-,-,-,3,-,3,-
Forwards,,,,,,,,,,,,,,,
9,Ciro Immobile,ITA,20/02/1990,24,-,-,-,-,-,2,-,1,-,1,-
10,Henrikh Mkhitaryan,ARM 21/01/1989,,25,-,-,-,-,-,3,-,31,4,43,8
17,Pierre-Emerick Aubameyang,GAB 18/06/1989,,25,-,-,-,-,-,3,1,9,1,18,1
20,Adrián Ramos,COL 22/01/1986,,28,-,-,-,-,-,2,2,-,-,7,-
Coach,,,,,,,,,,,,,,,
-,Jürgen Klopp,GER 16/06/1967,,47,-,-,-,-,-,-,-,27,-,43,-
,,,,,,,,,,,,,,,8
