Chelsea FC - FC Schalke 04,,,,,,Wednesday 17 September 2014 - 20.45CET (19.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,,"Stamford Bridge, London",,,
Squad list,,,,,,,,,,,,,,,
Chelsea FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Petr Čech,CZE 20/05/1982,,32,-,-,-,-,-,-,-,103,-,118,-
13,Thibaut Courtois,BEL 11/05/1992,,22,-,-,-,-,-,4,-,12,-,31,-
33,Mitchell Beeney,ENG 03/10/1995,,18,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Branislav Ivanović,SRB 22/02/1984,,30,-,-,-,-,-,4,2,47,6,71,10
3,Filipe Luís,BRA 09/08/1985,,29,-,-,-,-,-,1,-,10,1,45,1
5,Kurt Zouma,FRA 27/10/1994,,19,-,-,-,-,-,-,-,-,-,3,-
6,Nathan Aké,NED 18/02/1995,,19,-,-,-,-,-,-,-,-,-,2,-
24,Gary Cahill,ENG 19/12/1985,,28,-,-,-,-,-,4,-,19,2,29,3
26,John Terry,ENG 07/12/1980,,33,-,-,-,-,-,4,-,98,8,113,11
28,César Azpilicueta,ESP 28/08/1989,,25,-,-,-,-,-,4,-,23,-,33,-
31,Andreas Christensen,DEN 10/04/1996,,18,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
4,Cesc Fàbregas,ESP 04/05/1987,,27,-,-,-,-,-,4,-,81,16,88,21
7,Ramires,BRA 24/03/1987,,27,-,-,-,-,-,3,1,34,6,56,6
8,Oscar,BRA 09/09/1991,,23,-,-,-,-,-,3,-,16,6,27,7
10,Eden Hazard,BEL 07/01/1991,,23,-,-,-,-,-,4,1,21,2,51,8
12,John Obi Mikel,NGA 22/04/1987,,27,-,-,-,-,-,2,-,53,-,59,-
17,Mohamed Salah,EGY 15/06/1992,,22,-,-,-,-,-,1,-,6,2,26,7
21,Nemanja Matić,SRB 01/08/1988,,26,-,-,-,-,-,4,1,18,1,29,2
22,Willian,BRA 09/08/1988,,26,-,-,-,-,-,3,-,41,8,68,10
Forwards,,,,,,,,,,,,,,,
11,Didier Drogba,CIV,11/03/1978,36,-,-,-,-,-,3,-,87,42,97,48
14,André Schürrle,GER 06/11/1990,,23,-,-,-,-,-,3,1,18,2,25,4
18,Loïc Rémy,FRA 02/01/1987,,27,-,-,-,-,-,1,1,18,4,25,6
19,Diego Costa,ESP 07/10/1988,,25,-,-,-,-,-,4,7,9,8,22,12
32,Jeremie Boga,FRA 03/01/1997,,17,-,-,-,-,-,-,-,-,-,-,-
34,Lewis Baker,ENG 25/04/1995,,19,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,José Mourinho,POR 26/01/1963,,51,-,-,-,-,-,-,-,113,-,128,-
,,,,,,,,,,,,,,,7
