FC Porto - FC BATE Borisov,,,,,Wednesday 17 September 2014 - 20.45CET (19.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Estádio do Dragão, Porto",,,
FC BATE Borisov,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
16,Sergei Chernik,BLR 20/07/1988,,26,6,-,-,-,-,-,-,-,6,-
30,Germans Māliņš,LVA 12/10/1987,,26,-,-,-,-,-,-,-,-,7,-
34,Artem Soroko,BLR 01/04/1992,,22,-,-,-,-,-,-,-,-,-,-
48,Denis Scherbitski,BLR 14/04/1996,,18,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
3,Vitali Gayduchik,BLR 12/07/1989,,25,3,-,-,-,-,-,-,-,5,-
14,Anri Khagush,RUS 23/09/1986,,27,6,1,-,-,-,-,5,-,24,1
21,Egor Filipenko,BLR 10/04/1988,,26,6,-,-,-,-,-,9,1,38,1
22,Filip Mladenović,SRB 15/08/1991,,23,3,-,-,-,-,-,-,-,13,1
33,Denis Polyakov,BLR 17/04/1991,,23,6,-,-,-,-,-,6,-,20,-
46,Aleksandr Pavlovets,BLR 13/08/1996,,18,-,-,-,-,-,-,-,-,-,-
55,Nemanja Tubić,SRB 08/04/1984,,30,-,-,-,-,-,-,-,-,10,-
Midfielders,,,,,,,,,,,,,,
2,Dmitri Likhtarovich,BLR 01/03/1978,,36,3,-,-,-,-,-,13,-,89,2
5,Evgeni Yablonski,BLR 10/05/1995,,19,-,-,-,-,-,-,-,-,-,-
7,Aleksandr Karnitski,BLR 14/02/1989,,25,4,-,-,-,-,-,-,-,4,-
8,Aleksandr Volodko,BLR 18/06/1986,,28,5,1,-,-,-,-,17,1,59,5
9,Ilya Aleksievich,BLR 10/02/1991,,23,4,-,-,-,-,-,-,-,15,2
17,Aleksandr Pavlov,BLR 18/08/1984,,30,4,-,-,-,-,-,7,1,42,7
23,Edgar Olekhnovich,BLR 17/05/1987,,27,5,-,-,-,-,-,10,1,41,3
25,Dmitri Baga,BLR 04/01/1990,,24,-,-,-,-,-,-,9,-,26,-
42,Maksim Volodko,BLR 10/11/1992,,21,3,-,-,-,-,-,1,-,5,-
49,Aleksandr Dzhigero,BLR 15/04/1996,,18,-,-,-,-,-,-,-,-,-,-
50,Artur Kats,BLR 26/12/1994,,19,-,-,-,-,-,-,-,-,-,-
51,Evgeni Zdanyuk,BLR 19/01/1994,,20,-,-,-,-,-,-,-,-,-,-
62,Mikhail Gordeychuk,BLR 23/10/1989,,24,6,1,-,-,-,-,4,-,16,3
77,Andriy Yakovlev,UKR 20/02/1989,,25,1,-,-,-,-,-,-,-,1,-
Forwards,,,,,,,,,,,,,,
13,Nikolai Signevich,BLR 20/02/1992,,22,6,-,-,-,-,-,-,-,6,-
15,Vladislav Klimovich,BLR 12/06/1996,,18,-,-,-,-,-,-,-,-,-,-
20,Vitali Rodionov,BLR 11/12/1983,,30,6,2,-,-,-,-,11,2,71,19
44,Dmitri Antilevski,BLR 12/06/1997,,17,-,-,-,-,-,-,-,-,-,-
52,Aleksei Petrenko,BLR 03/02/1995,,19,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,
-,Aleksandr Yermakovich,BLR 21/01/1975,,39,6,-,-,-,-,-,-,-,6,-
,,,,,,,,,,,,,,7
