FC Barcelona - APOEL FC,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,,"Camp Nou, Barcelona",,,
Squad list,,,,,,,,,,,,,,,
FC Barcelona,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Marc-André ter Stegen,GER 30/04/1992,,22,-,-,-,-,-,-,-,-,-,9,-
13,Claudio Bravo,ESP 13/04/1983,,31,-,-,-,-,-,3,-,5,-,7,-
25,Jordi Masip,ESP 03/01/1989,,25,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Martín Montoya,ESP 14/04/1991,,23,-,-,-,-,-,1,-,6,1,6,1
3,Gerard Piqué,ESP 02/02/1987,,27,-,-,-,-,-,2,-,63,8,66,8
14,Javier Mascherano,ARG 08/06/1984,,30,-,-,-,-,-,2,-,66,-,79,1
15,Marc Bartra,ESP 15/01/1991,,23,-,-,-,-,-,1,-,12,-,12,-
16,Douglas,BRA 06/08/1990,,24,-,-,-,-,-,-,-,-,-,-,-
18,Jordi Alba,ESP 21/03/1989,,25,-,-,-,-,-,3,-,20,2,35,3
21,Adriano,BRA 26/10/1984,,29,-,-,-,-,-,-,-,34,1,70,7
22,Daniel Alves,BRA 06/05/1983,,31,-,-,-,-,-,2,-,69,7,112,9
23,Thomas Vermaelen,BEL,14/11/1985,28,-,-,-,-,-,-,-,28,1,51,2
24,Jérémy Mathieu,FRA 29/10/1983,,30,-,-,-,-,-,3,-,14,-,59,4
28,Alejandro Grimaldo,ESP 20/09/1995,,18,-,-,-,-,-,-,-,-,-,-,-
32,Edgar Ié,POR 01/05/1994,,20,-,-,-,-,-,-,-,-,-,-,-
33,Diawandou Diagné,SEN 28/07/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
4,Ivan Rakitić,CRO 10/03/1988,,26,-,-,-,-,-,3,-,12,-,49,4
5,Sergio Busquets,ESP 16/07/1988,,26,-,-,-,-,-,3,-,57,4,59,4
6,Xavi Hernández,ESP 25/01/1980,,34,-,-,-,-,-,1,-,141,11,163,13
8,Andrés Iniesta,ESP 11/05/1984,,30,-,-,-,-,-,2,-,96,10,103,10
12,Rafinha,ESP 12/02/1993,,21,-,-,-,-,-,2,-,2,-,2,-
20,Sergi Roberto,ESP 07/02/1992,,22,-,-,-,-,-,1,-,7,1,7,1
26,Sergi Samper,ESP 20/01/1995,,19,-,-,-,-,-,-,-,-,-,-,-
30,Alen Halilović,CRO 18/06/1996,,18,-,-,-,-,-,-,-,3,-,11,-
Forwards,,,,,,,,,,,,,,,
7,Pedro Rodríguez,ESP 28/07/1987,,27,-,-,-,-,-,3,-,51,15,54,16
9,Luis Suárez,URU 24/01/1987,,27,-,-,-,-,-,-,-,5,1,42,21
10,Lionel Messi,ARG 24/06/1987,,27,-,-,-,-,-,3,2,86,67,89,68
11,Neymar,BRA 05/02/1992,,22,-,-,-,-,-,2,2,10,4,10,4
27,Adama Traoré,ESP 25/01/1996,,18,-,-,-,-,-,-,-,1,-,1,-
29,Sandro Ramírez,ESP 09/07/1995,,19,-,-,-,-,-,2,1,-,-,-,-
31,Munir El Haddadi,ESP 01/09/1995,,19,-,-,-,-,-,3,1,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,Luis Enrique,ESP 08/05/1970,,44,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,6
