FC Bayern München - Manchester City FC,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Fußball Arena München, Munich",,,,
Squad list,,,,,,,,,,,,,,,
FC Bayern München,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Manuel Neuer,GER 27/03/1986,,28,-,-,-,-,-,3,-,59,-,67,-
22,Tom Starke,GER 18/03/1981,,33,-,-,-,-,-,-,-,-,-,-,-
23,Pepe Reina,ESP 31/08/1982,,32,-,-,-,-,-,-,-,55,-,142,-
29,Leopold Zingerle,GER 10/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
4,Dante,BRA 18/10/1983,,30,-,-,-,-,-,3,-,21,-,37,-
5,Mehdi Benatia,MAR 17/04/1987,,27,-,-,-,-,-,-,-,-,-,17,1
13,Rafinha,BRA 07/09/1985,,29,-,-,-,-,-,-,-,32,2,50,2
17,Jérôme Boateng,GER 03/09/1988,,26,-,-,-,-,-,2,-,31,-,68,2
18,Juan Bernat,ESP 01/03/1993,,21,-,-,-,-,-,3,-,-,-,15,1
21,Philipp Lahm,GER 11/11/1983,,30,-,-,-,-,-,3,-,85,-,104,3
27,David Alaba,AUT 24/06/1992,,22,-,-,-,-,-,3,-,35,4,37,4
28,Holger Badstuber,GER 13/03/1989,,25,-,-,-,-,-,3,-,31,-,33,-
38,Ylli Sallahi,AUT 06/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
3,Xabi Alonso,ESP 25/11/1981,,32,-,-,-,-,-,2,-,94,3,103,3
6,Thiago Alcántara,ESP 11/04/1991,,23,-,-,-,-,-,-,-,14,-,14,-
7,Franck Ribéry,FRA 07/04/1983,,31,-,-,-,-,-,1,1,53,14,83,21
8,Javi Martínez,ESP 02/09/1988,,26,-,-,-,-,-,-,-,19,-,45,3
11,Xherdan Shaqiri,SUI,10/10/1991,22,-,-,-,-,-,2,-,22,2,38,5
15,Lucas-Julian Scholl,GER 05/07/1996,,18,-,-,-,-,-,-,-,-,-,-,-
16,Gianluca Gaudino,GER 11/11/1996,,17,-,-,-,-,-,2,-,-,-,-,-
19,Mario Götze,GER 03/06/1992,,22,-,-,-,-,-,3,1,28,5,35,7
20,Sebastian Rode,GER 11/10/1990,,23,-,-,-,-,-,2,-,-,-,7,-
30,Mitchell Weiser,GER 21/04/1994,,20,-,-,-,-,-,-,-,1,-,1,-
31,Bastian Schweinsteiger,GER 01/08/1984,,30,-,-,-,-,-,-,-,83,12,97,13
34,Pierre Højbjerg,DEN 05/08/1995,,19,-,-,-,-,-,2,-,-,-,-,-
Forwards,,,,,,,,,,,,,,,
9,Robert Lewandowski,POL 21/08/1988,,26,-,-,-,-,-,3,1,28,17,52,24
10,Arjen Robben,NED 23/01/1984,,30,-,-,-,-,-,1,1,79,22,83,23
14,Claudio Pizarro,PER 03/10/1978,,35,-,-,-,-,-,1,-,71,21,110,48
24,Sinan Kurt,GER 23/07/1996,,18,-,-,-,-,-,-,-,-,-,-,-
25,Thomas Müller,GER 13/09/1989,,25,-,-,-,-,-,3,1,58,21,61,21
36,Patrick Weihrauch,GER 03/03/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,Josep Guardiola,ESP 18/01/1971,,43,-,-,-,-,-,-,-,61,-,66,-
,,,,,,,,,,,,,,,9
