Chelsea FC - FC Schalke 04,,,,,,Wednesday 17 September 2014 - 20.45CET (19.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,,"Stamford Bridge, London",,,
FC Schalke 04,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Ralf Fährmann,GER 27/09/1988,,25,-,-,-,-,-,3,-,4,-,9,-
28,Christian Wetklo,GER 11/01/1980,,34,-,-,-,-,-,-,-,-,-,1,-
34,Fabian Giefer,GER 17/05/1990,,24,-,-,-,-,-,-,-,-,-,2,-
40,Timon Wellenreuther,GER 03/12/1995,,18,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Marvin Friedrich,GER 13/12/1995,,18,-,-,-,-,-,1,-,-,-,-,-
3,Jan Kirchhoff,GER 01/10/1990,,23,-,-,-,-,-,-,-,-,-,-,-
4,Benedikt Höwedes,GER 29/02/1988,,26,-,-,-,-,-,3,1,29,4,46,4
5,Felipe Santana,BRA 17/03/1986,,28,-,-,-,-,-,1,-,14,2,16,2
6,Sead Kolašinac,BIH,20/06/1993,21,-,-,-,-,-,1,-,9,-,9,-
15,Dennis Aogo,GER 14/01/1987,,27,-,-,-,-,-,2,-,5,-,31,-
21,Axel Borgmann,GER 08/07/1994,,20,-,-,-,-,-,-,-,-,-,-,-
22,Atsuto Uchida,JPN,27/03/1988,26,-,-,-,-,-,-,-,22,1,32,1
23,Christian Fuchs,AUT 07/04/1986,,28,-,-,-,-,-,3,-,11,1,26,3
32,Joel Matip,CMR 08/08/1991,,23,-,-,-,-,-,2,-,23,2,38,3
35,Marcel Sobottka,GER 25/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
37,Pascal Itter,GER 03/04/1995,,19,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
7,Max Meyer,GER 18/09/1995,,18,-,-,-,-,-,2,-,8,-,10,-
8,Leon Goretzka,GER 06/02/1995,,19,-,-,-,-,-,-,-,4,-,5,-
9,Kevin-Prince Boateng,GHA 06/03/1987,,27,-,-,-,-,-,2,-,27,5,39,8
10,Julian Draxler,GER 20/09/1993,,20,-,-,-,-,-,3,-,20,4,35,7
11,Christian Clemens,GER 04/08/1991,,23,-,-,-,-,-,2,-,3,-,5,-
12,Marco Höger,GER 16/09/1989,,25,-,-,-,-,-,2,-,8,-,22,-
16,Maurice Multhaup,GER 15/12/1996,,17,-,-,-,-,-,-,-,-,-,-,-
18,Sidney Sam,GER 31/01/1988,,26,-,-,-,-,-,3,-,12,3,25,6
19,Leroy Sané,GER 11/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
24,Kaan Ayhan,TUR 10/11/1994,,19,-,-,-,-,-,3,-,1,-,1,-
27,Tranquillo Barnetta,SUI,22/05/1985,29,-,-,-,-,-,-,-,7,-,46,1
33,Roman Neustädter,GER 18/02/1988,,26,-,-,-,-,-,3,-,16,1,17,1
39,Thilo Kehrer,GER 21/09/1996,,17,-,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,,
13,Eric Maxim Choupo-Moting,CMR 23/03/1989,,25,-,-,-,-,-,3,1,-,-,9,2
17,Jefferson Farfán,PER 26/10/1984,,29,-,-,-,-,-,-,-,56,9,78,11
20,Chinedu Obasi,NGA 01/06/1986,,28,-,-,-,-,-,-,-,5,-,12,-
25,Klaas-Jan Huntelaar,NED 12/08/1983,,31,-,-,-,-,-,2,1,22,9,64,41
29,Donis Avdijaj,GER 25/08/1996,,18,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,Jens Keller,GER 24/11/1970,,43,-,-,-,-,-,-,-,10,-,15,-
,,,,,,,,,,,,,,,8
