Athletic Club - FC Shakhtar Donetsk,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,"Estadio de San Mamés, Bilbao",,,,
FC Shakhtar Donetsk,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
30,Andriy Pyatov,UKR 28/06/1984,,30,-,-,-,-,1,-,36,-,65,-
32,Anton Kanibolotskiy,UKR 16/05/1988,,26,-,-,-,-,5,-,-,-,4,-
35,Mykyta Kryukov,UKR 30/04/1991,,23,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
5,Olexandr Kucher,UKR 22/10/1982,,31,-,-,-,-,1,-,34,-,61,-
13,Vyacheslav Shevchuk,UKR 13/05/1979,,35,-,-,-,-,4,-,14,-,30,-
18,Ivan Ordets,UKR 08/07/1992,,22,-,-,-,-,4,-,-,-,-,-
31,Ismaily,BRA 11/01/1990,,24,-,-,-,-,1,-,4,-,7,1
33,Darijo Srna,CRO 01/05/1982,,32,-,-,-,-,6,-,50,2,112,6
38,Serhiy Kryvtsov,UKR 15/03/1991,,23,-,-,-,-,4,-,-,-,1,-
44,Yaroslav Rakitskiy,UKR 03/08/1989,,25,-,-,-,-,4,1,28,1,38,2
66,Márcio Azevedo,BRA 05/02/1986,,28,-,-,-,-,2,-,-,-,2,-
Midfielders,,,,,,,,,,,,,,
6,Taras Stepanenko,UKR 08/08/1989,,25,-,-,-,-,5,2,8,1,9,1
8,Fred,BRA 05/03/1993,,21,-,-,-,-,5,-,3,-,4,-
10,Bernard,BRA 08/09/1992,,22,-,-,-,-,1,-,6,-,8,-
11,Marlos,BRA 07/06/1988,,26,-,-,-,-,4,-,-,-,18,2
17,Fernando,BRA 03/03/1992,,22,-,-,-,-,4,1,5,-,5,-
20,Douglas Costa,BRA 14/09/1990,,24,-,-,-,-,4,-,26,5,30,5
29,Alex Teixeira,BRA 06/01/1990,,24,-,-,-,-,4,1,27,5,29,5
77,Ilsinho,BRA 12/10/1985,,28,-,-,-,-,4,-,17,1,39,3
89,Dentinho,BRA 19/01/1989,,25,-,-,-,-,1,-,-,-,1,-
Forwards,,,,,,,,,,,,,,
7,Wellington Nem,BRA 06/02/1992,,22,-,-,-,-,1,1,-,-,-,-
9,Luiz Adriano,BRA 12/04/1987,,27,-,-,-,-,6,1,34,11,58,23
21,Olexandr Gladkiy,UKR 24/08/1987,,27,-,-,-,-,6,5,7,2,25,5
28,Taison,BRA 13/01/1988,,26,-,-,-,-,6,2,8,1,35,8
Coach,,,,,,,,,,,,,,
-,Mircea Lucescu,ROU 29/07/1945,,69,-,-,-,-,-,-,89,-,188,-
,,,,,,,,,,,,,,8
