SL Benfica - FC Zenit,,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,,"Estádio do Sport Lisboa e Benfica, Lisbon",,,,,,
FC Zenit,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Yuri Lodygin,RUS 26/05/1990,,24,-,4,-,-,-,-,-,7,-,15,-
16,Vyacheslav Malafeev,RUS 04/03/1979,,35,-,-,-,-,-,-,-,20,-,71,-
51,Maksim Rudakov,RUS 22/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
61,Anton Tsvetkov,RUS 15/01/1994,,20,-,-,-,-,-,-,-,-,-,-,-
71,Egor Baburin,RUS 09/08/1993,,21,-,-,-,-,-,-,-,-,-,-,-
80,Mikhail Mzhelski,RUS 29/03/1995,,19,-,-,-,-,-,-,-,-,-,-,-
83,Igor Obukhov,RUS 29/05/1996,,18,-,-,-,-,-,-,-,-,-,-,-
95,Aleksandr Vasyutin,RUS 04/03/1995,,19,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Aleksandr Anyukov,RUS 28/09/1982,,31,-,2,-,-,-,-,-,22,-,76,1
4,Domenico Criscito,ITA,30/12/1986,27,-,4,-,-,-,-,-,17,-,28,1
6,Nicolas Lombaerts,BEL 20/03/1985,,29,-,3,-,-,-,-,-,24,1,62,2
13,Luís Neto,POR 26/05/1988,,26,-,1,-,-,-,-,-,4,-,11,-
19,Igor Smolnikov,RUS 08/08/1988,,26,-,4,-,-,-,-,-,7,-,13,-
24,Ezequiel Garay,ARG 10/10/1986,,27,-,4,-,-,-,-,-,23,1,51,3
33,Milan Rodić,SRB 02/04/1991,,23,-,-,-,-,-,-,-,-,-,5,-
52,Andrei Ivanov,RUS 02/09/1994,,20,-,-,-,-,-,-,-,-,-,-,-
56,Kirill Kostin,RUS 25/03/1994,,20,-,-,-,-,-,-,-,-,-,-,-
57,Dzhamaldin Khodzhaniyazov,RUS 18/07/1996,,18,-,-,-,-,-,-,-,-,-,1,-
58,Ilya Zuev,RUS 25/01/1994,,20,-,-,-,-,-,-,-,-,-,-,-
62,Stepan Rebenko,RUS 01/05/1995,,19,-,-,-,-,-,-,-,-,-,-,-
72,Stepan Zhalobkov,RUS 02/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
75,Artem Simonyan,RUS 20/02/1995,,19,-,-,-,-,-,-,-,-,-,-,-
96,Ilya Kubyshkin,RUS 12/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
5,Aleksandr Ryazantsev,RUS 05/09/1986,,28,-,2,-,-,-,-,-,11,1,43,6
8,Pavel Mogilevets,RUS 25/01/1993,,21,-,-,-,-,-,-,-,-,-,2,-
17,Oleg Shatov,RUS 29/07/1990,,24,-,4,1,-,-,-,-,7,1,25,4
20,Viktor Fayzulin,RUS 22/04/1986,,28,S,4,-,-,-,-,-,21,2,51,4
21,Javi García,ESP 08/02/1987,,27,-,-,-,-,-,-,-,28,2,53,3
28,Axel Witsel,BEL 12/01/1989,,25,-,2,-,-,-,-,-,28,-,62,9
35,Danny,POR 07/08/1983,,31,-,4,1,-,-,-,-,20,5,54,12
44,Anatoliy Tymoshchuk,UKR 30/03/1979,,35,-,4,-,-,-,-,-,50,2,122,6
60,Evgeni Serenkov,RUS 24/08/1994,,20,-,-,-,-,-,-,-,-,-,-,-
65,Danila Yaschuk,RUS 13/03/1995,,19,-,-,-,-,-,-,-,-,-,-,-
68,Vyacheslav Zinkov,RUS 26/05/1993,,21,-,-,-,-,-,-,-,-,-,-,-
73,Pavel Osipov,RUS 28/01/1996,,18,-,-,-,-,-,-,-,-,-,-,-
94,Aleksei Evseev,RUS 30/03/1994,,20,-,-,-,-,-,-,-,-,-,-,-
97,Dmitri Hodakovski,RUS 14/01/1995,,19,-,-,-,-,-,-,-,-,-,-,-
99,Ivan Solovyev,RUS 29/03/1993,,21,-,2,-,-,-,-,-,-,-,2,-
Forwards,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8

SL Benfica - FC Zenit,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,"Estádio do Sport Lisboa e Benfica, Lisbon",,,,,,
FC Zenit,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
7,Hulk,BRA 25/07/1986,28,-,4,2,-,-,-,-,37,12,66,24
10,Andrey Arshavin,RUS 29/05/1981,33,-,1,-,-,-,-,-,31,4,82,23
11,Aleksandr Kerzhakov,RUS 27/11/1982,31,-,2,1,-,-,-,-,19,3,72,28
23,José Rondón,VEN 16/09/1989,25,-,4,2,-,-,-,-,2,1,26,14
43,Pavel Nazimov,RUS 04/02/1996,18,-,-,-,-,-,-,-,-,-,-,-
48,Aleksei Gasilin,RUS 01/03/1996,18,-,-,-,-,-,-,-,-,-,-,-
70,Dmitri Bogaev,RUS 24/01/1994,20,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,
-,André Villas-Boas,POR 17/10/1977,36,-,4,-,-,-,-,-,7,-,48,-
,,,,,,,,,,,,,,9
