Galatasaray AŞ - RSC Anderlecht,,,,,,,Tuesday 16 September 2014 - 20.45CET (21.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Ali Sami Yen Spor Kompleksi, Istanbul",,,,,
Squad list,,,,,,,,,,,,,,,
Galatasaray AŞ,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Fernando Muslera,URU 16/06/1986,,28,-,-,-,-,-,2,-,16,-,20,-
38,Sinan Bolat,TUR 03/09/1988,,26,-,-,-,-,-,-,-,6,1,26,1
67,Eray İşcan,TUR 19/07/1991,,23,-,-,-,-,-,-,-,2,-,2,-
Defenders,,,,,,,,,,,,,,,
5,Gökhan Zan,TUR 07/09/1981,,33,-,-,-,-,-,-,-,8,-,25,-
13,Alex Telles,BRA 15/12/1992,,21,-,-,-,-,-,-,-,2,-,2,-
21,Aurélien Chedjou,CMR 20/06/1985,,29,-,-,-,-,-,2,-,17,2,38,5
22,Hakan Balta,TUR 23/03/1983,,31,-,-,-,-,-,1,-,4,-,29,1
26,Semih Kaya,TUR 24/02/1991,,23,-,-,-,-,-,2,-,16,-,16,-
77,Tarık Çamdal,TUR 24/03/1991,,23,-,-,-,-,-,1,-,-,-,-,-
88,Veysel Sarı,TUR 25/07/1988,,26,-,-,-,-,-,2,-,-,-,4,1
Midfielders,,,,,,,,,,,,,,,
3,Felipe Melo,BRA 26/06/1983,,31,-,-,-,-,-,1,-,29,1,43,1
4,Hamit Altıntop,TUR 08/12/1982,,31,-,-,-,-,-,-,-,36,2,72,9
6,Blerim Dzemaili,SUI,12/04/1986,28,-,-,-,-,-,1,-,9,-,23,3
7,Aydın Yılmaz,TUR 29/01/1988,,26,-,-,-,-,-,-,-,5,1,16,2
8,Selçuk İnan,TUR 10/02/1985,,29,-,-,-,-,-,2,-,18,-,22,-
10,Wesley Sneijder,NED 09/06/1984,,30,-,-,-,-,-,2,-,64,11,82,16
11,Bruma,POR 24/10/1994,,19,-,-,-,-,-,2,-,5,-,5,-
20,Furkan Özçal,TUR 03/09/1990,,24,-,-,-,-,-,-,-,-,-,-,-
23,Yasin Öztekin,TUR 19/03/1987,,27,-,-,-,-,-,1,-,-,-,3,-
29,Olcan Adın,TUR 30/09/1985,,28,-,-,-,-,-,2,1,-,-,23,7
35,Yekta Kurtuluş,TUR 11/12/1985,,28,-,-,-,-,-,2,-,4,-,4,-
52,Emre Çolak,TUR 20/05/1991,,23,-,-,-,-,-,-,-,6,-,7,-
Forwards,,,,,,,,,,,,,,,
9,Umut Bulut,TUR 15/03/1983,,31,-,-,-,-,-,2,-,18,4,27,7
17,Burak Yılmaz,TUR 15/07/1985,,29,-,-,-,-,-,2,1,23,8,40,9
19,Goran Pandev,MKD 27/07/1983,,31,-,-,-,-,-,1,-,30,5,50,8
Coach,,,,,,,,,,,,,,,
-,Cesare Prandelli,ITA,19/08/1957,57,-,-,-,-,-,-,-,14,-,43,-
,,,,,,,,,,,,,,,6
