Juventus - Malmö FF,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,"Juventus Stadium, Turin",,,
Squad list,,,,,,,,,,,,,,
Juventus,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
1,Gianluigi Buffon,ITA,28/01/1978,36,-,-,-,-,2,-,75,-,118,-
30,Marco Storari,ITA,07/01/1977,37,-,-,-,-,-,-,2,-,7,-
34,Rubinho,BRA 04/08/1982,,32,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
3,Giorgio Chiellini,ITA,14/08/1984,30,-,-,-,-,-,-,30,1,48,4
4,Martín Cáceres,URU 07/04/1987,,27,-,-,-,-,2,-,13,-,28,-
5,Angelo Ogbonna,ITA,23/05/1988,26,-,-,-,-,2,-,3,-,6,-
15,Andrea Barzagli,ITA,08/05/1981,33,-,-,-,-,-,-,15,-,42,-
19,Leonardo Bonucci,ITA,01/05/1987,27,-,-,-,-,2,-,16,1,31,3
26,Stephan Lichtsteiner,SUI,16/01/1984,30,-,-,-,-,2,-,14,-,37,-
33,Patrice Evra,FRA 15/05/1981,,33,-,-,-,-,1,-,86,2,97,2
38,Federico Mattiello,ITA,14/07/1995,19,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
2,Rômulo,BRA 22/05/1987,,27,-,-,-,-,-,-,-,-,-,-
6,Paul Pogba,FRA 15/03/1993,,21,-,-,-,-,2,-,14,-,23,1
7,Simone Pepe,ITA,30/08/1983,31,-,-,-,-,-,-,-,-,24,2
8,Claudio Marchisio,ITA,19/01/1986,28,-,-,-,-,2,1,21,2,42,2
20,Simone Padoin,ITA,18/03/1984,30,-,-,-,-,1,-,4,-,6,-
21,Andrea Pirlo,ITA,19/05/1979,35,-,-,-,-,-,-,98,7,129,10
22,Kwadwo Asamoah,GHA 09/12/1988,,25,-,-,-,-,1,-,12,-,33,-
23,Arturo Vidal,CHI,22/05/1987,27,-,-,-,-,1,-,15,8,39,12
37,Roberto Pereyra,ARG 07/01/1991,,23,-,-,-,-,2,-,-,-,14,-
39,Luca Marrone,ITA,28/03/1990,24,-,-,-,-,-,-,1,-,1,-
Forwards,,,,,,,,,,,,,,
9,Álvaro Morata,ESP 23/10/1992,,21,-,-,-,-,1,-,6,1,6,1
10,Carlos Tévez,ARG 05/02/1984,,30,-,-,-,-,2,1,33,6,50,7
11,Kingsley Coman,FRA 13/06/1996,,18,-,-,-,-,2,-,-,-,-,-
12,Sebastian Giovinco,ITA,26/01/1987,27,-,-,-,-,-,-,19,2,28,2
14,Fernando Llorente,ESP 26/02/1985,,29,-,-,-,-,2,-,5,2,45,18
Coach,,,,,,,,,,,,,,
-,Massimiliano Allegri,ITA,11/08/1967,47,-,-,-,-,-,-,32,-,34,-
,,,,,,,,,,,,,,6
