Liverpool FC - PFC Ludogorets Razgrad,,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,,,"Anfield, Liverpool",,
Squad list,,,,,,,,,,,,,,,
Liverpool FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Brad Jones,AUS 19/03/1982,,32,-,-,-,-,-,-,-,-,-,9,-
22,Simon Mignolet,BEL,06/08/1988,26,-,-,-,-,-,4,-,-,-,-,-
39,Ryan Fulton,ENG 23/05/1996,,18,-,-,-,-,-,-,-,-,-,-,-
52,Daniel Ward,WAL 22/06/1993,,21,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Glen Johnson,ENG 23/08/1984,,30,-,-,-,-,-,2,-,16,-,42,2
3,José Enrique,ESP 23/01/1986,,28,-,-,-,-,-,1,-,-,-,6,-
4,Kolo Touré,CIV,19/03/1981,33,-,-,-,-,-,-,-,62,2,73,2
6,Dejan Lovren,CRO 05/07/1989,,25,-,-,-,-,-,4,-,12,1,38,3
17,Mamadou Sakho,FRA 13/02/1990,,24,-,-,-,-,-,2,-,3,-,22,-
18,Alberto Moreno,ESP 05/07/1992,,22,-,-,-,-,-,3,1,-,-,14,-
19,Javi Manquillo,ESP 05/05/1994,,20,-,-,-,-,-,3,-,1,-,3,-
37,Martin Škrtel,SVK 15/12/1984,,29,-,-,-,-,-,2,-,15,-,54,-
38,Jon Flanagan,ENG 01/01/1993,,21,-,-,-,-,-,-,-,-,-,1,-
43,Ryan McLaughlin,NIR,30/09/1994,19,-,-,-,-,-,-,-,-,-,-,-
49,Jordan Williams,WAL 06/11/1995,,18,-,-,-,-,-,-,-,-,-,-,-
51,Lloyd Jones,ENG 07/10/1995,,18,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
8,Steven Gerrard,ENG 30/05/1980,,34,-,-,-,-,-,4,1,67,19,124,39
10,Coutinho,BRA 12/06/1992,,22,-,-,-,-,-,3,-,9,-,19,2
14,Jordan Henderson,ENG 17/06/1990,,24,-,-,-,-,-,4,-,-,-,10,1
20,Adam Lallana,ENG 10/05/1988,,26,-,-,-,-,-,1,-,-,-,-,-
21,Lucas,BRA 09/01/1987,,27,-,-,-,-,-,1,-,21,1,46,3
23,Emre Can,GER 12/01/1991,,23,S,-,-,-,-,2,-,7,-,7,-
24,Joe Allen,WAL 14/03/1990,,24,-,-,-,-,-,3,-,-,-,7,1
30,Suso,ESP 19/11/1993,,20,-,-,-,-,-,-,-,-,-,4,-
31,Raheem Sterling,ENG 08/12/1994,,19,-,-,-,-,-,4,2,-,-,10,-
32,Cameron Brannagan,IRL,09/05/1996,18,-,-,-,-,-,-,-,-,-,-,-
40,Ryan Kent,ENG 11/11/1996,,17,-,-,-,-,-,-,-,-,-,-,-
42,Jordan Lussey,ENG 02/11/1994,,19,-,-,-,-,-,-,-,-,-,-,-
46,Jordan Rossiter,ENG 24/03/1997,,17,-,-,-,-,-,-,-,-,-,-,-
50,Lazar Marković,SRB 02/03/1994,,20,S,-,-,-,-,3,-,5,-,29,1
Forwards,,,,,,,,,,,,,,,
9,Rickie Lambert,ENG 16/02/1982,,32,-,-,-,-,-,3,-,-,-,-,-
15,Daniel Sturridge,ENG 01/09/1989,,25,-,-,-,-,-,3,1,16,2,25,2
29,Fabio Borini,ITA,29/03/1991,23,-,-,-,-,-,1,-,1,-,7,1
41,Jack Dunn,ENG 19/11/1994,,19,-,-,-,-,-,-,-,-,-,-,-
45,Mario Balotelli,ITA,12/08/1990,24,-,-,-,-,-,2,-,29,7,40,12
48,Jerome Sinclair,ENG 20/09/1996,,17,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,5

Liverpool FC - PFC Ludogorets Razgrad,,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,,,"Anfield, Liverpool",,
Liverpool FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
54,Oluwaseyi Ojo,ENG 19/06/1997,,17,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
-,Brendan Rodgers,NIR,26/01/1973,41,-,-,-,-,-,-,-,-,-,12,-
,,,,,,,,,,,,,,,6
