Juventus - Malmö FF,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,"Juventus Stadium, Turin",,,
Malmö FF,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
16,Sixten Mohlin,SWE 17/01/1996,,18,-,-,-,-,-,-,-,-,-,-
25,Robin Olsen,DEN 08/01/1990,,24,6,-,-,-,22,-,-,-,6,-
27,Zlatan Azinovic,SWE 31/01/1988,,26,-,-,-,-,1,-,-,-,1,-
Defenders,,,,,,,,,,,,,,
2,Matias Concha,SWE 31/03/1980,,34,3,-,-,-,8,-,-,-,15,-
3,Anton Tinnerholm,SWE 26/02/1991,,23,4,-,-,-,8,-,-,-,4,-
4,Filip Helander,SWE 22/04/1993,,21,4,-,-,-,21,1,-,-,6,-
18,Johan Hammar,SWE 22/02/1994,,20,3,-,-,-,5,-,-,-,3,-
20,Ricardinho,BRA 09/09/1984,,30,5,-,-,-,19,-,-,-,21,-
21,Erik Johansson,SWE 30/12/1988,,25,5,-,-,-,19,-,-,-,10,-
32,Pa Konate,SWE 25/04/1994,,20,1,-,-,-,-,-,-,-,1,-
34,Alexander Blomqvist,SWE 03/08/1994,,20,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
6,Markus Halsti,FIN,19/03/1984,30,6,-,-,-,22,1,-,-,26,2
7,Magnus Eriksson,SWE 08/04/1990,,24,5,1,-,-,23,4,-,-,11,3
8,Enoch Adu,GHA 14/09/1990,,23,4,-,-,-,8,-,6,-,13,-
11,Simon Thern,SWE 18/09/1992,,21,-,-,-,-,11,2,-,-,9,-
14,Simon Kroon,SWE 16/06/1993,,21,5,-,-,-,15,-,-,-,9,2
15,Pawel Cibicki,SWE 09/01/1994,,20,4,-,-,-,14,2,-,-,8,-
22,Amin Nazari,SWE 26/04/1993,,21,3,-,-,-,9,-,-,-,4,-
31,Erdal Rakip,SWE 19/02/1996,,18,1,-,-,-,13,-,-,-,2,-
33,Emil Forsberg,SWE 23/10/1991,,22,6,2,-,-,23,10,-,-,12,4
35,Piotr Johansson,SWE 28/02/1995,,19,1,-,-,-,2,-,-,-,1,-
Forwards,,,,,,,,,,,,,,
9,Markus Rosenberg,SWE 27/09/1982,,31,6,4,-,-,21,10,18,3,52,15
24,Isaac Thelin,SWE 24/06/1992,,22,6,2,-,-,-,-,-,-,6,2
26,Agon Mehmeti,SWE 20/11/1989,,24,3,-,-,-,7,2,-,-,14,1
Coach,,,,,,,,,,,,,,
-,Åge Hareide,NOR 23/09/1953,,60,6,-,-,-,-,-,-,-,52,-
,,,,,,,,,,,,,,7
