FC Bayern München - Manchester City FC,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Fußball Arena München, Munich",,,,
Manchester City FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Joe Hart,ENG 19/04/1987,,27,-,-,-,-,-,4,-,19,-,41,-
13,Willy Caballero,ARG 28/09/1981,,32,-,-,-,-,-,-,-,9,-,11,-
Defenders,,,,,,,,,,,,,,,
3,Bacary Sagna,FRA 14/02/1983,,31,-,-,-,-,-,1,-,38,-,68,-
4,Vincent Kompany,BEL,10/04/1986,28,-,-,-,-,-,4,-,31,2,74,4
5,Pablo Zabaleta,ARG 16/01/1985,,29,S,-,-,-,-,2,-,15,-,54,-
11,Aleksandar Kolarov,SRB 10/11/1985,,28,-,-,-,-,-,3,-,19,3,35,5
20,Eliaquim Mangala,FRA 13/02/1991,,23,-,-,-,-,-,-,-,20,1,36,4
22,Gaël Clichy,FRA 26/07/1985,,29,-,-,-,-,-,3,-,54,-,63,-
26,Martín Demichelis,ARG 20/12/1980,,33,-,-,-,-,-,4,1,56,2,68,3
38,Dedryck Boyata,BEL,28/11/1990,23,-,-,-,-,-,-,-,-,-,9,1
Midfielders,,,,,,,,,,,,,,,
6,Fernando,BRA 25/07/1987,,27,-,-,-,-,-,3,-,34,-,56,1
7,James Milner,ENG 04/01/1986,,28,-,-,-,-,-,2,-,12,1,53,4
8,Samir Nasri,FRA 26/06/1987,,27,-,-,-,-,-,4,-,46,7,75,9
15,Jesús Navas,ESP 21/11/1985,,28,-,-,-,-,-,3,-,24,2,66,3
18,Frank Lampard,ENG 20/06/1978,,36,-,-,-,-,-,1,-,102,23,129,29
21,David Silva,ESP 08/01/1986,,28,-,-,-,-,-,4,1,30,4,59,10
25,Fernandinho,BRA 04/05/1985,,29,-,-,-,-,-,4,-,38,4,80,13
42,Yaya Touré,CIV,13/05/1983,31,-,-,-,-,-,3,-,51,6,69,8
Forwards,,,,,,,,,,,,,,,
10,Edin Džeko,BIH,17/03/1986,28,-,-,-,-,-,4,-,24,7,48,15
16,Sergio Agüero,ARG 02/06/1988,,26,-,-,-,-,-,4,3,31,14,60,33
35,Stevan Jovetić,MNE 02/11/1989,,24,-,-,-,-,-,3,2,6,4,13,9
Coach,,,,,,,,,,,,,,,
-,Manuel Pellegrini,CHI,16/09/1953,60,S,-,-,-,-,-,-,47,-,81,-
,,,,,,,,,,,,,,,10
