NK Maribor - Sporting Clube de Portugal,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,,"Stadion Ljudski vrt, Maribor",,,
Squad list,,,,,,,,,,,,,,,
NK Maribor,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Aljaž Cotman,SVN 26/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
12,Marino Hamer,SVN 26/02/1995,,19,-,-,-,-,-,-,-,-,-,-,-
13,Žan Vidic,SVN 07/06/1995,,19,-,-,-,-,-,-,-,-,-,-,-
33,Jasmin Handanovič,SVN 28/01/1978,,36,-,6,-,-,-,7,-,-,-,44,-
69,Matko Obradović,CRO 11/05/1991,,23,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
4,Marko Šuler,SVN 09/03/1983,,31,-,6,-,-,-,3,-,-,-,30,1
7,Aleš Mejač,SVN 18/03/1983,,31,-,-,-,-,-,6,-,-,-,35,2
16,Damjan Vukliševič,SVN 28/06/1995,,19,-,-,-,-,-,2,-,-,-,-,-
24,Dejan Trajkovski,SVN 14/04/1992,,22,-,-,-,-,-,-,-,-,-,10,-
26,Aleksander Rajčevič,SVN 17/11/1986,,27,-,6,-,-,-,6,-,-,-,52,-
28,Mitja Viler,SVN 01/09/1986,,28,-,6,-,-,-,7,1,-,-,34,3
35,Matej Filipović,SVN 12/12/1995,,18,-,-,-,-,-,-,-,-,-,-,-
36,Žiga Živko,SVN 21/07/1995,,19,-,-,-,-,-,-,-,-,-,-,-
44,Arghus,ITA,19/01/1988,26,-,-,-,-,-,3,-,-,-,34,1
Midfielders,,,,,,,,,,,,,,,
5,Željko Filipović,SVN 03/10/1988,,25,-,6,-,-,-,5,-,-,-,39,1
6,Welle Ndiaye,SEN 05/04/1990,,24,-,-,-,-,-,-,-,-,-,-,-
8,Sintayehu Sallalich,ISR,20/06/1991,23,-,3,-,-,-,-,-,-,-,9,-
10,Agim Ibraimi,MKD 29/08/1988,,26,-,6,3,-,-,3,-,-,-,35,8
21,Amir Derviševič,SVN 04/07/1992,,22,-,6,-,-,-,1,-,-,-,13,-
22,Dare Vršič,SVN 26/09/1984,,29,-,6,1,-,-,7,-,-,-,17,9
23,Dino Hotič,SVN 26/07/1995,,19,-,-,-,-,-,1,-,-,-,-,-
25,Ranko Moravac,SVN 25/01/1995,,19,-,-,-,-,-,-,-,-,-,2,-
30,Petar Stojanovič,SVN 07/10/1995,,18,-,6,-,-,-,4,-,-,-,6,-
31,Daniel Vujčič,SVN 12/04/1995,,19,-,-,-,-,-,-,-,-,-,-,-
39,Damjan Bohar,SVN 18/10/1991,,22,-,6,2,-,-,7,2,-,-,27,2
40,Sven Dodlek,SVN 28/09/1995,,18,-,-,-,-,-,-,-,-,-,-,-
70,Aleš Mertelj,SVN 22/03/1987,,27,-,4,-,-,-,6,-,-,-,52,2
92,Matic Črnic,SVN 12/06/1992,,22,-,-,-,-,-,-,-,-,-,8,1
Forwards,,,,,,,,,,,,,,,
9,Tavares,BRA 30/03/1984,,30,-,6,1,-,-,7,1,-,-,55,18
11,Luka Zahovič,SVN 15/11/1995,,18,-,-,-,-,-,5,5,-,-,1,-
14,Jean-Philippe Mendy,FRA 04/03/1987,,27,-,6,-,-,-,7,1,-,-,18,1
15,Rok Sirk,SVN 10/09/1993,,21,-,-,-,-,-,-,-,-,-,-,-
17,Nusmir Fajić,BIH,12/01/1987,27,-,2,-,-,-,4,-,-,-,21,3
20,David Biton,ISR,01/03/1988,26,-,-,-,-,-,1,-,-,-,15,3
27,Alen Ploj,SVN 30/06/1992,,22,-,-,-,-,-,-,-,-,-,-,-
Coach,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5

NK Maribor - Sporting Clube de Portugal,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Stadion Ljudski vrt, Maribor",,,
NK Maribor,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
-,Ante Šimundža,SVN 28/09/1971,42,-,6,-,-,-,-,-,-,-,13,-
,,,,,,,,,,,,,,6
