Olympiacos FC - Club Atlético de Madrid,,,,,,,Tuesday 16 September 2014 - 20.45CET (21.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Stadio Georgios Karaiskakis, Piraeus",,,,,
Squad list,,,,,,,,,,,,,,,
Olympiacos FC,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
16,Roberto,ESP 10/02/1986,,28,-,-,-,-,-,3,-,15,-,23,-
33,Lefteris Choutesiotis,GRE 20/07/1994,,20,-,-,-,-,-,-,-,-,-,-,-
42,Balázs Megyeri,HUN 31/03/1990,,24,-,-,-,-,-,-,-,5,-,9,-
Defenders,,,,,,,,,,,,,,,
2,Giannis Maniatis,GRE 12/10/1986,,27,-,-,-,-,-,1,-,16,1,32,1
3,Alberto Botía,ESP 27/01/1989,,25,-,-,-,-,-,2,-,-,-,-,-
14,Omar Elabdellaoui,NOR 05/12/1991,,22,-,-,-,-,-,2,-,-,-,1,-
20,Kostas Giannoulis,GRE 09/12/1987,,26,-,-,-,-,-,-,-,-,-,6,-
22,Éric Abidal,FRA 11/09/1979,,35,-,-,-,-,-,3,-,56,-,60,-
23,Dimitris Siovas,GRE 16/09/1988,,25,-,-,-,-,-,-,-,9,-,10,-
24,Tassos Avlonitis,GRE 01/01/1990,,24,-,-,-,-,-,1,-,-,-,-,-
26,Arthur Masuaku,FRA 07/11/1993,,20,-,-,-,-,-,3,-,-,-,-,-
30,Leandro Salino,BRA 22/04/1985,,29,-,-,-,-,-,1,-,17,-,49,-
Midfielders,,,,,,,,,,,,,,,
5,Luka Milivojević,SRB 07/04/1991,,23,-,-,-,-,-,1,-,4,-,14,-
6,Ibrahim Afellay,NED 02/04/1986,,28,-,-,-,-,-,2,1,31,1,53,3
8,Delvin N'Dinga,CGO 14/03/1988,,26,-,-,-,-,-,2,-,11,-,13,-
9,Jimmy Durmaz,SWE 22/03/1989,,25,-,-,-,-,-,2,1,-,-,12,-
10,Alejandro Domínguez,ARG 10/06/1981,,33,-,-,-,-,-,3,1,24,6,37,8
11,Pajtim Kasami,SUI,02/06/1992,22,-,-,-,-,-,3,2,-,-,17,-
18,Andreas Bouchalakis,GRE 05/04/1993,,21,-,-,-,-,-,2,-,-,-,-,-
19,David Fuster,ESP 03/02/1982,,32,-,-,-,-,-,-,-,18,2,26,4
Forwards,,,,,,,,,,,,,,,
7,Kostas Mitroglou,GRE 12/03/1988,,26,-,-,-,-,-,1,-,21,9,36,12
17,Dimitris Diamantakos,GRE 05/03/1993,,21,-,-,-,-,-,3,1,-,-,-,-
27,Jorge Benitez,PAR 02/09/1992,,22,-,-,-,-,-,2,-,-,-,-,-
28,Nikos Vergos,GRE 13/01/1996,,18,-,-,-,-,-,-,-,1,-,1,-
Coach,,,,,,,,,,,,,,,
-,Míchel,ESP 23/03/1963,,51,-,-,-,-,-,-,-,8,-,18,-
,,,,,,,,,,,,,,,8
