AS Roma - PFC CSKA Moskva,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Stadio Olimpico, Rome",,,
PFC CSKA Moskva,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,
1,Sergei Chepchugov,RUS 15/07/1985,,29,-,-,-,-,-,-,2,-,10,-
35,Igor Akinfeev,RUS 08/04/1986,,28,-,-,-,-,7,-,31,-,79,-
45,Ilya Pomazun,RUS 16/08/1996,,18,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,
2,Mário Fernandes,BRA 28/06/1991,,23,-,-,-,-,7,-,-,-,2,-
4,Sergei Ignashevich,RUS 14/07/1979,,35,-,-,-,-,7,-,61,2,112,9
6,Aleksei Berezutski,RUS 20/06/1982,,32,-,-,-,-,3,-,40,-,81,2
14,Kirill Nababkin,RUS 08/09/1986,,28,-,-,-,-,6,-,10,-,24,-
24,Vasili Berezutski,RUS 20/06/1982,,32,-,-,-,-,7,-,34,2,76,4
42,Georgi Schennikov,RUS 27/04/1991,,23,-,-,-,-,-,-,21,-,39,-
91,Nikita Chernov,RUS 14/01/1996,,18,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,
3,Pontus Wernbloom,SWE 25/06/1986,,28,-,-,-,-,7,-,12,1,41,9
7,Zoran Tošić,SRB 28/04/1987,,27,-,-,-,-,7,1,12,3,33,9
10,Alan Dzagoev,RUS 17/06/1990,,24,-,-,-,-,4,-,17,4,40,9
15,Dmitri Efremov,RUS 01/04/1995,,19,-,-,-,-,4,-,-,-,-,-
19,Aleksandrs Cauņa,LVA,19/01/1988,26,-,-,-,-,-,-,6,1,15,1
20,Rasmus Elm,SWE 17/03/1988,,26,-,-,-,-,-,-,4,-,40,7
23,Georgi Milanov,BUL,19/02/1992,22,-,-,-,-,7,-,6,-,18,-
25,Roman Eremenko,FIN,19/03/1987,27,-,-,-,-,2,2,12,1,60,7
66,Bebras Natcho,ISR,18/02/1988,26,-,-,-,-,4,5,4,-,67,14
98,Svyatoslav Georgievski,RUS 21/08/1995,,19,-,-,-,-,-,-,-,-,-,-
99,Maksim Martusevich,RUS 07/03/1995,,19,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,
8,Kirill Panchenko,RUS 19/10/1989,,24,-,-,-,-,-,-,-,-,-,-
18,Ahmed Musa,NGA 14/10/1992,,21,-,-,-,-,7,2,8,1,10,1
31,Vitinho,BRA 09/10/1993,,20,-,-,-,-,5,1,5,-,5,-
43,Aleksandr Makarov,RUS 24/04/1996,,18,-,-,-,-,-,-,-,-,-,-
46,Nikolai Dergachev,RUS 24/05/1994,,20,-,-,-,-,-,-,-,-,-,-
71,Konstantin Bazelyuk,RUS 12/04/1993,,21,-,-,-,-,1,-,2,-,2,-
88,Seydou Doumbia,CIV,31/12/1987,26,-,-,-,-,4,2,9,7,21,16
Coach,,,,,,,,,,,,,,
-,Leonid Slutski,RUS 04/05/1971,,43,-,-,-,-,-,-,21,-,41,-
,,,,,,,,,,,,,,7
