Liverpool FC - PFC Ludogorets Razgrad,,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,,,,,,"Anfield, Liverpool",,
PFC Ludogorets Razgrad,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Emil Gospodinov,BUL 04/04/1997,,17,-,-,-,-,-,-,-,-,-,-,-
21,Vladislav Stoyanov,BUL 08/06/1987,,27,S,6,-,-,-,4,-,-,-,43,-
26,Milan Borjan,CAN 23/10/1987,,26,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
5,Alexandre Barthe,FRA 05/03/1986,,28,-,2,-,-,-,4,1,-,-,23,-
15,Aleksandar Aleksandrov,BUL 13/04/1986,,28,-,2,-,-,-,6,-,-,-,12,-
16,Brayan Angulo,COL 02/11/1989,,24,-,2,-,-,-,3,-,-,-,2,-
25,Yordan Minev,BUL 14/10/1980,,33,-,4,-,-,-,3,-,-,-,32,-
27,Cosmin Moţi,ROU 03/12/1984,,29,-,6,-,-,-,3,-,-,-,50,1
37,Ventsislav Kerchev,BUL 02/06/1997,,17,-,-,-,-,-,-,-,-,-,-,-
55,Georgi Terziev,BUL 18/04/1992,,22,-,2,-,-,-,1,-,-,-,5,-
80,Júnior Caiçara,BRA 27/04/1989,,25,-,5,-,-,-,5,-,-,-,22,-
Midfielders,,,,,,,,,,,,,,,
8,Fábio Espinho,POR 18/08/1985,,29,-,6,1,-,-,7,-,-,-,21,1
12,Anicet Abel,MAD 16/03/1990,,24,-,4,1,-,-,7,2,-,-,12,1
17,Dani Abalo,ESP 29/09/1987,,26,-,4,1,-,-,8,1,-,-,13,4
18,Svetoslav Dyakov,BUL 31/05/1984,,30,-,5,-,-,-,3,-,-,-,22,1
23,Hristo Zlatinski,BUL 22/01/1985,,29,-,4,-,-,-,5,-,-,-,28,4
28,Tomas Tsvyatkov,BUL 01/06/1997,,17,-,-,-,-,-,-,-,-,-,-,-
34,Oleg Dimitrov,BUL 06/03/1996,,18,-,-,-,-,-,-,-,-,-,-,-
38,Kristiyan Kitov,BUL 14/10/1996,,17,-,-,-,-,-,-,-,-,-,-,-
84,Marcelinho,BRA 24/08/1984,,30,-,6,2,-,-,4,-,-,-,23,6
88,Wanderson,BRA 02/01/1988,,26,-,3,1,-,-,6,1,-,-,3,1
Forwards,,,,,,,,,,,,,,,
7,Mihail Aleksandrov,BUL 11/06/1989,,25,-,5,-,-,-,4,-,-,-,20,1
9,Roman Bezjak,SVN 21/02/1989,,25,-,5,2,-,-,4,1,-,-,22,8
11,Júnior Quixadá,BRA 12/12/1985,,28,-,-,-,-,-,7,3,-,-,8,3
93,Virgil Misidjan,NED 24/07/1993,,21,-,6,-,-,-,8,3,-,-,17,2
99,Younes Hamza,TUN 16/04/1986,,28,-,2,-,-,-,3,1,-,-,8,3
Coach,,,,,,,,,,,,,,,
-,Georgi Dermendzhiev,BUL 04/01/1955,,59,-,3,-,-,-,-,-,-,-,3,-
,,,,,,,,,,,,,,,7
