AFC Ajax - Paris Saint-Germain,,,,,,Wednesday 17 September 2014 - 20.45CET (20.45 local time),,,,,,,,,
Match press kit,,,,,,,,,,,"Amsterdam ArenA, Amsterdam",,,,
Paris Saint-Germain,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Nicolas Douchez,FRA 22/04/1980,,34,-,-,-,-,-,-,-,-,-,20,-
16,Mike Maignan,FRA 03/07/1995,,19,-,-,-,-,-,-,-,-,-,-,-
30,Salvatore Sirigu,ITA,12/01/1987,27,-,-,-,-,-,-,-,20,-,25,-
40,Mory Diaw,FRA 22/06/1993,,21,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Thiago Silva,BRA 22/09/1984,,29,-,-,-,-,-,-,-,36,3,36,3
5,Marquinhos,BRA 14/05/1994,,20,-,-,-,-,-,-,-,8,3,8,3
6,Zoumana Camara,FRA 03/04/1979,,35,-,-,-,-,-,-,-,6,-,33,-
17,Maxwell,BRA 27/08/1981,,33,-,-,-,-,-,-,-,71,-,79,1
19,Serge Aurier,CIV,24/12/1992,21,-,-,-,-,-,-,-,-,-,-,-
21,Lucas Digne,FRA 20/07/1993,,21,-,-,-,-,-,-,-,7,-,9,1
23,Gregory van der Wiel,NED 03/02/1988,,26,-,-,-,-,-,-,-,23,1,52,1
32,David Luiz,BRA 22/04/1987,,27,-,-,-,-,-,-,-,33,3,63,6
Midfielders,,,,,,,,,,,,,,,
4,Yohan Cabaye,FRA 14/01/1986,,28,-,-,-,-,-,-,-,12,1,49,4
7,Lucas,BRA 13/08/1992,,22,-,-,-,-,-,-,-,14,-,14,-
8,Thiago Motta,ITA,28/08/1982,32,-,-,-,-,-,-,-,58,5,67,6
14,Blaise Matuidi,FRA 09/04/1987,,27,-,-,-,-,-,-,-,18,3,31,3
20,Clément Chantôme,FRA 11/09/1987,,27,-,-,-,-,-,-,-,6,-,37,2
24,Marco Verratti,ITA,05/11/1992,21,-,-,-,-,-,-,-,17,-,17,-
25,Adrien Rabiot,FRA 03/04/1995,,19,-,-,-,-,-,-,-,7,-,7,-
27,Javier Pastore,ARG 20/06/1989,,25,-,-,-,-,-,-,-,16,4,29,7
Forwards,,,,,,,,,,,,,,,
9,Edinson Cavani,URU 14/02/1987,,27,-,-,-,-,-,-,-,16,9,35,23
10,Zlatan Ibrahimović,SWE 03/10/1981,,32,-,-,-,-,-,-,-,103,41,112,44
15,Jean-Christophe Bahebeck,FRA 01/05/1993,,21,-,-,-,-,-,-,-,-,-,6,1
22,Ezequiel Lavezzi,ARG 03/05/1985,,29,-,-,-,-,-,-,-,27,9,39,12
Coach,,,,,,,,,,,,,,,
-,Laurent Blanc,FRA 19/11/1965,,48,-,-,-,-,-,-,-,26,-,36,-
,,,,,,,,,,,,,,,7
