Galatasaray AŞ - RSC Anderlecht,,,,,,,Tuesday 16 September 2014 - 20.45CET (21.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Ali Sami Yen Spor Kompleksi, Istanbul",,,,,
RSC Anderlecht,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Silvio Proto,BEL,23/05/1983,31,S,-,-,-,-,5,-,13,-,54,-
26,Nicaise Kudimbana,BEL,21/01/1987,27,-,-,-,-,-,-,-,-,-,-,-
33,Davy Roef,BEL,06/02/1994,20,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Fabrice N'Sakala,FRA 21/07/1990,,24,S,-,-,-,-,5,-,6,-,6,-
3,Olivier Deschacht,BEL,16/02/1981,33,-,-,-,-,-,7,-,30,-,75,-
12,Maxime Colin,FRA 15/11/1991,,22,-,-,-,-,-,1,-,-,-,-,-
14,Bram Nuytinck,NED 04/05/1990,,24,-,-,-,-,-,7,-,10,-,10,-
22,Chancel Mbemba,COD 08/08/1994,,20,-,-,-,-,-,7,-,5,1,5,1
24,Michael Heylen,BEL,03/01/1994,20,-,-,-,-,-,-,-,-,-,-,-
37,Hervé Matthys,BEL,19/01/1996,18,-,-,-,-,-,-,-,-,-,-,-
39,Anthony Vanden Borre,BEL,24/10/1987,26,-,-,-,-,-,-,-,21,1,32,1
Midfielders,,,,,,,,,,,,,,,
10,Dennis Praet,BEL,14/05/1994,20,-,-,-,-,-,7,-,11,-,12,1
16,Steven Defour,BEL,15/04/1988,26,-,-,-,-,-,3,1,18,1,45,1
19,Sacha Kljestan,USA 09/09/1985,,29,-,-,-,-,-,3,-,10,1,30,4
31,Youri Tielemans,BEL,07/05/1997,17,-,-,-,-,-,7,1,4,-,4,-
32,Leander Dendoncker,BEL,15/04/1995,19,-,-,-,-,-,4,-,-,-,-,-
34,Samuel Bastien,BEL,26/09/1996,17,-,-,-,-,-,-,-,-,-,-,-
40,Wigor,BRA 07/01/1995,,19,-,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,,
7,Andy Najar,HON 16/03/1993,,21,-,-,-,-,-,5,-,1,-,1,-
9,Matías Suárez,ARG 09/05/1988,,26,-,-,-,-,-,7,2,3,-,40,13
15,Cyriac,CIV,15/08/1990,24,-,-,-,-,-,7,2,4,-,14,2
17,Oswal Alvarez,COL 11/06/1995,,19,-,-,-,-,-,-,-,-,-,-,-
18,Frank Acheampong,GHA 16/10/1993,,20,-,-,-,-,-,6,2,6,-,6,-
20,Ibrahima Conté,GUI,03/04/1991,23,-,-,-,-,-,1,-,-,-,30,3
35,Aaron Leya Iseka,COD 15/11/1997,,16,-,-,-,-,-,-,-,-,-,-,-
38,Andy Kawaya,BEL,23/08/1996,18,-,-,-,-,-,-,-,-,-,-,-
42,Nathan Kabasele,BEL,14/01/1994,20,-,-,-,-,-,4,1,-,-,1,-
45,Aleksandar Mitrović,SRB 16/09/1994,,19,-,-,-,-,-,7,4,6,-,18,3
Coach,,,,,,,,,,,,,,,
-,Besnik Hasi,BEL,29/12/1971,42,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,7
