Real Madrid CF - FC Basel 1893,,,,,,,Tuesday 16 September 2014 - 20.45CET (20.45 local time),,,,,,,,
Match press kit,,,,,,,,,,"Estadio Santiago Bernabéu, Madrid",,,,,
Squad list,,,,,,,,,,,,,,,
Real Madrid CF,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Iker Casillas,ESP 20/05/1981,,33,-,-,-,-,-,3,-,140,-,147,-
13,Keylor Navas,CRC 15/12/1986,,27,-,-,-,-,-,-,-,-,-,12,-
25,Fernando Pacheco,ESP 18/05/1992,,22,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Raphaël Varane,FRA 25/04/1993,,21,-,-,-,-,-,1,-,22,-,22,-
3,Pepe,POR 26/02/1983,,31,-,-,-,-,-,3,-,71,3,73,3
4,Sergio Ramos,ESP 30/03/1986,,28,-,-,-,-,-,3,1,74,8,81,9
5,Fábio Coentrão,POR 11/03/1988,,26,-,-,-,-,-,1,-,28,2,51,3
12,Marcelo,BRA 12/05/1988,,26,-,-,-,-,-,2,-,45,4,46,4
15,Dani Carvajal,ESP 11/01/1992,,22,-,-,-,-,-,2,-,10,-,13,-
17,Álvaro Arbeloa,ESP 17/01/1983,,31,-,-,-,-,-,3,-,57,2,61,2
18,Nacho,ESP 18/01/1990,,24,-,-,-,-,-,-,-,4,-,4,-
28,Guillermo Varela,URU 24/03/1993,,21,-,-,-,-,-,-,-,-,-,-,-
30,Abner,BRA 30/05/1996,,18,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
6,Sami Khedira,GER 04/04/1987,,27,-,-,-,-,-,2,-,43,1,53,2
8,Toni Kroos,GER 04/01/1990,,24,-,-,-,-,-,3,-,41,6,51,7
10,James Rodríguez,COL 12/07/1991,,23,-,-,-,-,-,3,-,14,2,26,3
11,Gareth Bale,WAL 16/07/1989,,25,-,-,-,-,-,3,1,21,10,44,14
19,Luka Modrić,CRO 09/09/1985,,29,-,-,-,-,-,3,-,30,3,56,8
23,Isco,ESP 21/04/1992,,22,-,-,-,-,-,3,-,22,6,25,6
24,Asier Illarramendi,ESP 08/03/1990,,24,-,-,-,-,-,-,-,11,-,12,-
Forwards,,,,,,,,,,,,,,,
7,Cristiano Ronaldo,POR 05/02/1985,,29,-,-,-,-,-,2,2,103,67,110,70
9,Karim Benzema,FRA 19/12/1987,,26,-,-,-,-,-,3,1,64,36,65,36
14,Javier Hernández,MEX 01/06/1988,,26,-,-,-,-,-,1,-,24,7,27,9
20,Jesé,ESP 26/02/1993,,21,-,-,-,-,-,-,-,5,-,5,-
29,Eero Markkanen,FIN,03/07/1991,23,-,-,-,-,-,-,-,-,-,2,-
Coach,,,,,,,,,,,,,,,
-,Carlo Ancelotti,ITA,10/06/1959,55,-,-,-,-,-,-,-,130,-,172,-
,,,,,,,,,,,,,,,7
