SL Benfica - FC Zenit,,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,,"Estádio do Sport Lisboa e Benfica, Lisbon",,,,,,
Squad list,,,,,,,,,,,,,,,
SL Benfica,,,,,,,,,,,,,,,
,,,,,,,Current season,,,,,,All-time,,
,,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
No. Player,,Nat.,DoB,Age,D,Pld Gls Pld Gls Pld Gls Pld Gls Pld Gls,,,,,,,,,
Goalkeepers,,,,,,,,,,,,,,,
1,Artur,BRA 25/01/1981,,33,-,-,-,-,-,-,-,23,-,54,-
12,Bruno Varela,POR 04/11/1994,,19,-,-,-,-,-,-,-,-,-,-,-
13,Paulo Lopes,POR 29/06/1978,,36,-,-,-,-,-,-,-,-,-,-,-
20,Júlio César,BRA 03/09/1979,,35,-,-,-,-,-,-,-,52,-,55,-
87,Miguel Santos,POR 21/10/1994,,19,-,-,-,-,-,-,-,-,-,-,-
Defenders,,,,,,,,,,,,,,,
2,Lisandro López,ARG 01/09/1989,,25,-,-,-,-,-,-,-,-,-,-,-
4,Luisão,BRA 13/02/1981,,33,-,-,-,-,-,-,-,42,4,108,10
14,Maxi Pereira,URU 08/06/1984,,30,-,-,-,-,-,-,-,30,3,69,6
19,Eliseu,POR 01/10/1983,,30,-,-,-,-,-,-,-,7,4,17,5
28,Sílvio,POR 28/09/1987,,26,-,-,-,-,-,-,-,2,-,15,-
33,Jardel,BRA 29/03/1986,,28,-,-,-,-,-,-,-,8,-,19,2
34,André Almeida,POR 10/09/1990,,24,-,-,-,-,-,-,-,8,-,21,-
37,César,BRA 28/12/1992,,21,-,-,-,-,-,-,-,-,-,-,-
60,Rebocho,POR 23/01/1995,,19,-,-,-,-,-,-,-,-,-,-,-
63,João Nunes,POR 19/11/1995,,18,-,-,-,-,-,-,-,-,-,-,-
65,Fábio Cardoso,POR 19/04/1994,,20,-,-,-,-,-,-,-,-,-,-,-
75,Alex Alfaiate,POR 17/08/1995,,19,-,-,-,-,-,-,-,-,-,-,-
92,Victor Lindelöf,SWE 17/07/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Midfielders,,,,,,,,,,,,,,,
7,Andreas Samaris,GRE 13/06/1989,,25,-,-,-,-,-,-,-,6,-,6,-
10,Nicolás Gaitán,ARG 23/02/1988,,26,-,-,-,-,-,-,-,24,1,50,5
18,Eduardo Salvio,ARG 13/07/1990,,24,-,-,-,-,-,-,-,10,-,54,10
23,Loris Benito,SUI,07/01/1992,22,-,-,-,-,-,-,-,-,-,2,-
24,Bryan Cristante,ITA,03/03/1995,19,-,-,-,-,-,-,-,1,-,1,-
35,Enzo Pérez,ARG 22/02/1986,,28,-,-,-,-,-,-,-,11,-,26,-
67,Hélder Costa,POR 12/01/1994,,20,-,-,-,-,-,-,-,-,-,-,-
70,Rochinha,POR 03/05/1995,,19,-,-,-,-,-,-,-,-,-,-,-
77,Rúben Pinto,POR 24/04/1992,,22,-,-,-,-,-,-,-,-,-,-,-
97,João Teixeira,POR 06/02/1994,,20,-,-,-,-,-,-,-,-,-,-,-
Forwards,,,,,,,,,,,,,,,
9,Derley,BRA 29/12/1987,,26,-,-,-,-,-,-,-,-,-,-,-
11,Lima,BRA 11/05/1983,,31,-,-,-,-,-,-,-,16,3,55,16
15,Ola John,NED 19/05/1992,,22,-,-,-,-,-,-,-,6,1,31,3
16,Nélson Oliveira,POR 08/08/1991,,23,-,-,-,-,-,-,-,2,1,2,1
21,Pizzi,POR 06/10/1989,,24,-,-,-,-,-,-,-,-,-,3,-
30,Talisca,BRA 01/02/1994,,20,-,-,-,-,-,-,-,-,-,-,-
32,Tiago,POR 12/07/1990,,24,-,-,-,-,-,-,-,1,1,6,1
78,Gonçalo Guedes,POR 29/11/1996,,17,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,6

SL Benfica - FC Zenit,,,,,,Tuesday 16 September 2014 - 20.45CET (19.45 local time),,,,,,,,
Match press kit,,,,,,,,"Estádio do Sport Lisboa e Benfica, Lisbon",,,,,,
SL Benfica,,,,,,,,,,,,,,
,,,,,,Current season,,,,,,All-time,,
,,,,,UCLQ,,UCL,,League,,UCL,,UEFA,
Coach,,,,,,,,,,,,,,
-,Jorge Jesus,POR 24/07/1954,60,-,-,-,-,-,-,-,27,-,89,-
,,,,,,,,,,,,,,7
