22, Dionisios Chiotis, GK
78, Urko Pardo, GK
88, Tasos Kissas, GK
3, João Guilherme, DEF
5, Carlão, DEF
6, John Arne Riise, DEF
15, Marios Antoniades, DEF
23, Tasos Papazoglou, DEF
25, Andreas Christofides, DEF
28, Mário Sérgio, DEF
44, Nicholas Ioannou, DEF
73, Kaká, DEF
4, Kostakis Artymatas, MID
7, George Efrem, MID
8, Tiago Gomes, MID
10, Constantinos Charalambides, MID
11, Nektarios Alexandrou, MID
16, Vinicius, MID
21, Gustavo Manduca, MID
26, Nuno Morais, MID
46, Stathis Aloneftis, MID
9, Cillian Sheridan, STR
20, Pieros Sotiriou, STR
30, Tomás De Vincenti, STR
79, Rafik Djebbour, STR
