1, Danijel Subašić, GK
16, Maarten Stekelenburg, GK
30, Seydou Sy, GK
40, Marc-Aurèle Caillard, GK
2, Fabinho, DEF
3, Layvin Kurzawa, DEF
5, Aymen Abdennour, DEF
6, Ricardo Carvalho, DEF
13, Wallace, DEF
20, Borja López, DEF
21, Elderson, DEF
24, Andrea Raggi, DEF
34, Abdou Diallo, DEF
38, Almamy Tourè, DEF
7, Nabil Dirar, MID
8, João Moutinho, MID
14, Tiemoué Bakayoko, MID
15, Bernardo Silva, MID
22, Geoffrey Kondogbia, MID
28, Jérémy Toulalan, MID
29, Dolan Bahamboula, MID
37, Abdou Aziz Thiam, MID
9, Dimitar Berbatov, STR
11, Lucas Ocampos, STR
17, Yannick Ferreira-Carrasco, STR
18, Valère Germain, STR
19, Lacina Traoré, STR
23, Anthony Martial, STR
27, Aboubakar Kamara, STR
