12, Gianluca Curci, GK
26, Morgan De Sanctis, GK
28, Łukasz Skorupski, GK
92, Gabriele Marchegiani, GK
2, Mapou Yanga-Mbiwa, DEF
3, Ashley Cole, DEF
5, Leandro Castán, DEF
13, Maicon, DEF
23, Davide Astori, DEF
25, José Holebas, DEF
35, Vassilis Torossidis, DEF
44, Kostas Manolas, DEF
50, Michele Somma, DEF
90, Elio Capradossi, DEF
91, Arturo Calabresi, DEF
4, Radja Nainggolan, MID
6, Kevin Strootman, MID
15, Miralem Pjanić, MID
16, Daniele De Rossi, MID
20, Seydou Keita, MID
24, Alessandro Florenzi, MID
32, Leandro Paredes, MID
48, Salih Uçan, MID
7, Juan Manuel Iturbe, STR
8, Adem Ljajić, STR
9, Marco Borriello, STR
10, Francesco Totti, STR
22, Mattia Destro, STR
27, Gervinho, STR
