1, Wojciech Szczęsny, GK
13, David Ospina, GK
26, Damián Martínez, GK
43, Ryan Huddart, GK
57, Josh Vickers, GK
2, Mathieu Debuchy, DEF
3, Kieran Gibbs, DEF
4, Per Mertesacker, DEF
6, Laurent Koscielny, DEF
18, Nacho Monreal, DEF
21, Calum Chambers, DEF
39, Héctor Bellerín, DEF
42, Isaac Hayden, DEF
52, Tafari Moore, DEF
54, Brandon Ormonde-Ottewill, DEF
7, Tomáš Rosický, MID
8, Mikel Arteta, MID
10, Jack Wilshere, MID
11, Mesut Özil, MID
15, Alex Oxlade-Chamberlain, MID
16, Aaron Ramsey, MID
19, Santi Cazorla, MID
20, Mathieu Flamini, MID
24, Abou Diaby, MID
27, Serge Gnabry, MID
34, Francis Coquelin, MID
35, Gedion Zelalem, MID
46, Jack Jebb, MID
47, Glen Kamara, MID
9, Lukas Podolski, STR
14, Theo Walcott, STR
17, Alexis Sánchez, STR
22, Yaya Sanogo, STR
28, Joel Campbell, STR
29, Danny Welbeck, STR
38, Chuba Akpom, STR
45, Alex Iwobi, STR
