1, Bernd Leno, GK
25, Dario Krešić, GK
36, Niklas Lomb, GK
5, Emir Spahić, DEF
13, Roberto Hilbert, DEF
14, Kyriakos Papadopoulos, DEF
16, Tin Jedvaj, DEF
17, Sebastian Boenisch, DEF
18, Wendell, DEF
21, Ömer Toprak, DEF
26, Giulio Donati, DEF
3, Stefan Reinartz, MID
6, Simon Rolfes, MID
8, Lars Bender, MID
10, Hakan Çalhanoğlu, MID
15, Levin Öztunali, MID
27, Gonzalo Castro, MID
35, Vladlen Yurchenko, MID
38, Karim Bellarabi, MID
7, Son Heung-Min, STR
9, Josip Drmic, STR
11, Stefan Kiessling, STR
19, Julian Brandt, STR
23, Robbie Kruse, STR
