1, Roman Weidenfeller, GK
22, Mitchell Langerak, GK
33, Zlatan Alomerović, GK
3, Marc Hornschuh, DEF
4, Neven Subotić, DEF
15, Mats Hummels, DEF
25, Sokratis Papastathopoulos, DEF
26, Łukasz Piszczek, DEF
28, Matthias Ginter, DEF
29, Marcel Schmelzer, DEF
37, Erik Durm, DEF
5, Sebastian Kehl, MID
6, Sven Bender, MID
7, Shinji Kagawa, MID
8, İlkay Gündoğan, MID
11, Marco Reus, MID
14, Miloš Jojić, MID
16, Jakub Błaszczykowski, MID
18, Nuri Şahin, MID
19, Kevin Grosskreutz, MID
21, Oliver Kirch, MID
9, Ciro Immobile, STR
10, Henrikh Mkhitaryan, STR
17, Pierre-Emerick Aubameyang, STR
20, Adrián Ramos, STR
