1, Petr Čech, GK
13, Thibaut Courtois, GK
33, Mitchell Beeney, GK
2, Branislav Ivanović, DEF
3, Filipe Luís, DEF
5, Kurt Zouma, DEF
6, Nathan Aké, DEF
24, Gary Cahill, DEF
26, John Terry, DEF
28, César Azpilicueta, DEF
31, Andreas Christensen, DEF
4, Cesc Fàbregas, MID
7, Ramires, MID
8, Oscar, MID
10, Eden Hazard, MID
12, John Obi Mikel, MID
17, Mohamed Salah, MID
21, Nemanja Matić, MID
22, Willian, MID
11, Didier Drogba, STR
14, André Schürrle, STR
18, Loïc Rémy, STR
19, Diego Costa, STR
32, Jeremie Boga, STR
34, Lewis Baker, STR
