1, Miguel Ángel Moyà, GK
13, Jan Oblak, GK
30, Santiago Canedo, GK
33, David Gil, GK
2, Diego Godín, DEF
3, Guilherme Siqueira, DEF
15, Cristian Ansaldi, DEF
18, Jesús Gámez, DEF
20, Juanfran, DEF
23, Miranda, DEF
24, José María Giménez, DEF
28, Lucas, DEF
31, Cañete, DEF
35, Sergi, DEF
37, Alejandro Llama, DEF
39, Chipi, DEF
40, Nacho Monsalve, DEF
42, Alejandro Neila, DEF
43, Borja París, DEF
47, Aitor, DEF
50, Alberto, DEF
4, Mario Suárez, MID
5, Tiago, MID
6, Koke, MID
7, Antoine Griezmann, MID
8, Raúl García, MID
10, Arda Turan, MID
14, Gabi, MID
17, Saúl Ñíguez, MID
21, Cristian Rodríguez, MID
27, Benjamín, MID
29, Kevin Caicedo, MID
38, Borja Martínez, MID
41, Juan Moreno, MID
45, Fede Prieto, MID
46, Carlos, MID
51, Xu Xin, MID
9, Mario Mandžukić, STR
11, Raúl Jiménez, STR
22, Alessio Cerci, STR
26, Ivi, STR
32, Borja Galán, STR
34, Ian González, STR
48, Carlos, STR
49, Samuel Villa, STR
