16, Sergei Chernik, GK
30, Germans Māliņš, GK
34, Artem Soroko, GK
48, Denis Scherbitski, GK
3, Vitali Gayduchik, DEF
14, Anri Khagush, DEF
21, Egor Filipenko, DEF
22, Filip Mladenović, DEF
33, Denis Polyakov, DEF
46, Aleksandr Pavlovets, DEF
55, Nemanja Tubić, DEF
2, Dmitri Likhtarovich, MID
5, Evgeni Yablonski, MID
7, Aleksandr Karnitski, MID
8, Aleksandr Volodko, MID
9, Ilya Aleksievich, MID
17, Aleksandr Pavlov, MID
23, Edgar Olekhnovich, MID
25, Dmitri Baga, MID
42, Maksim Volodko, MID
49, Aleksandr Dzhigero, MID
50, Artur Kats, MID
51, Evgeni Zdanyuk, MID
62, Mikhail Gordeychuk, MID
77, Andriy Yakovlev, MID
13, Nikolai Signevich, STR
15, Vladislav Klimovich, STR
20, Vitali Rodionov, STR
44, Dmitri Antilevski, STR
52, Aleksei Petrenko, STR
