1, Manuel Neuer, GK
22, Tom Starke, GK
23, Pepe Reina, GK
29, Leopold Zingerle, GK
4, Dante, DEF
5, Mehdi Benatia, DEF
13, Rafinha, DEF
17, Jérôme Boateng, DEF
18, Juan Bernat, DEF
21, Philipp Lahm, DEF
27, David Alaba, DEF
28, Holger Badstuber, DEF
38, Ylli Sallahi, DEF
3, Xabi Alonso, MID
6, Thiago Alcántara, MID
7, Franck Ribéry, MID
8, Javi Martínez, MID
11, Xherdan Shaqiri, MID
15, Lucas-Julian Scholl, MID
16, Gianluca Gaudino, MID
19, Mario Götze, MID
20, Sebastian Rode, MID
30, Mitchell Weiser, MID
31, Bastian Schweinsteiger, MID
34, Pierre Højbjerg, MID
9, Robert Lewandowski, STR
10, Arjen Robben, STR
14, Claudio Pizarro, STR
24, Sinan Kurt, STR
25, Thomas Müller, STR
36, Patrick Weihrauch, STR
