12, Fabiano, GK
24, Ricardo, GK
25, Andrés Fernández, GK
41, Kadu, GK
51, André Caio, GK
61, João Costa, GK
2, Danilo, DEF
3, Bruno Martins Indi, DEF
4, Maicon, DEF
5, Iván Marcano, DEF
26, Alex Sandro, DEF
42, David Carneiro, DEF
45, Rafa, DEF
73, Diogo Verdasca, DEF
94, Tomás Mota, DEF
95, Rui Silva, DEF
6, Casemiro, MID
8, Yacine Brahimi, MID
15, Evandro, MID
16, Hector Herrera, MID
30, Óliver Torres, MID
36, Rúben Neves, MID
46, Mikel Agu, MID
48, Francisco Ramos, MID
50, João Graça, MID
56, Tomás Podstawski, MID
66, Rui Moreira, MID
76, Clever, MID
78, Leandro Silva, MID
7, Ricardo Quaresma, STR
9, Jackson Martínez, STR
10, Juan Quintero, STR
11, Cristian Tello, STR
18, Adrián López, STR
21, Ricardo, STR
28, Kelvin, STR
39, Gonçalo Paciência, STR
49, André Silva, STR
67, Frédéric Maciel, STR
70, Luís Mata, STR
79, Sérgio Ribeiro, STR
80, Ivo Rodrigues, STR
88, Ruben Macedo, STR
90, Bruno Costa, STR
99, Vincent Aboubakar, STR
