1, Ralf Fährmann, GK
28, Christian Wetklo, GK
34, Fabian Giefer, GK
40, Timon Wellenreuther, GK
2, Marvin Friedrich, DEF
3, Jan Kirchhoff, DEF
4, Benedikt Höwedes, DEF
5, Felipe Santana, DEF
6, Sead Kolašinac, DEF
15, Dennis Aogo, DEF
21, Axel Borgmann, DEF
22, Atsuto Uchida, DEF
23, Christian Fuchs, DEF
32, Joel Matip, DEF
35, Marcel Sobottka, DEF
37, Pascal Itter, DEF
7, Max Meyer, MID
8, Leon Goretzka, MID
9, Kevin-Prince Boateng, MID
10, Julian Draxler, MID
11, Christian Clemens, MID
12, Marco Höger, MID
16, Maurice Multhaup, MID
18, Sidney Sam, MID
19, Leroy Sané, MID
24, Kaan Ayhan, MID
27, Tranquillo Barnetta, MID
33, Roman Neustädter, MID
39, Thilo Kehrer, MID
13, Eric Maxim Choupo-Moting, STR
17, Jefferson Farfán, STR
20, Chinedu Obasi, STR
25, Klaas-Jan Huntelaar, STR
29, Donis Avdijaj, STR
