30, Andriy Pyatov, GK
32, Anton Kanibolotskiy, GK
35, Mykyta Kryukov, GK
5, Olexandr Kucher, DEF
13, Vyacheslav Shevchuk, DEF
18, Ivan Ordets, DEF
31, Ismaily, DEF
33, Darijo Srna, DEF
38, Serhiy Kryvtsov, DEF
44, Yaroslav Rakitskiy, DEF
66, Márcio Azevedo, DEF
6, Taras Stepanenko, MID
8, Fred, MID
10, Bernard, MID
11, Marlos, MID
17, Fernando, MID
20, Douglas Costa, MID
29, Alex Teixeira, MID
77, Ilsinho, MID
89, Dentinho, MID
7, Wellington Nem, STR
9, Luiz Adriano, STR
21, Olexandr Gladkiy, STR
28, Taison, STR
