1, Fernando Muslera, GK
38, Sinan Bolat, GK
67, Eray İşcan, GK
5, Gökhan Zan, DEF
13, Alex Telles, DEF
21, Aurélien Chedjou, DEF
22, Hakan Balta, DEF
26, Semih Kaya, DEF
77, Tarık Çamdal, DEF
88, Veysel Sarı, DEF
3, Felipe Melo, MID
4, Hamit Altıntop, MID
6, Blerim Dzemaili, MID
7, Aydın Yılmaz, MID
8, Selçuk İnan, MID
10, Wesley Sneijder, MID
11, Bruma, MID
20, Furkan Özçal, MID
23, Yasin Öztekin, MID
29, Olcan Adın, MID
35, Yekta Kurtuluş, MID
52, Emre Çolak, MID
9, Umut Bulut, STR
17, Burak Yılmaz, STR
19, Goran Pandev, STR
