1, Gianluigi Buffon, GK
30, Marco Storari, GK
34, Rubinho, GK
3, Giorgio Chiellini, DEF
4, Martín Cáceres, DEF
5, Angelo Ogbonna, DEF
15, Andrea Barzagli, DEF
19, Leonardo Bonucci, DEF
26, Stephan Lichtsteiner, DEF
33, Patrice Evra, DEF
38, Federico Mattiello, DEF
2, Rômulo, MID
6, Paul Pogba, MID
7, Simone Pepe, MID
8, Claudio Marchisio, MID
20, Simone Padoin, MID
21, Andrea Pirlo, MID
22, Kwadwo Asamoah, MID
23, Arturo Vidal, MID
37, Roberto Pereyra, MID
39, Luca Marrone, MID
9, Álvaro Morata, STR
10, Carlos Tévez, STR
11, Kingsley Coman, STR
12, Sebastian Giovinco, STR
14, Fernando Llorente, STR
