16, Sixten Mohlin, GK
25, Robin Olsen, GK
27, Zlatan Azinovic, GK
2, Matias Concha, DEF
3, Anton Tinnerholm, DEF
4, Filip Helander, DEF
18, Johan Hammar, DEF
20, Ricardinho, DEF
21, Erik Johansson, DEF
32, Pa Konate, DEF
34, Alexander Blomqvist, DEF
6, Markus Halsti, MID
7, Magnus Eriksson, MID
8, Enoch Adu, MID
11, Simon Thern, MID
14, Simon Kroon, MID
15, Pawel Cibicki, MID
22, Amin Nazari, MID
31, Erdal Rakip, MID
33, Emil Forsberg, MID
35, Piotr Johansson, MID
9, Markus Rosenberg, STR
24, Isaac Thelin, STR
26, Agon Mehmeti, STR
