1, Aljaž Cotman, GK
12, Marino Hamer, GK
13, Žan Vidic, GK
33, Jasmin Handanovič, GK
69, Matko Obradović, GK
4, Marko Šuler, DEF
7, Aleš Mejač, DEF
16, Damjan Vukliševič, DEF
24, Dejan Trajkovski, DEF
26, Aleksander Rajčevič, DEF
28, Mitja Viler, DEF
35, Matej Filipović, DEF
36, Žiga Živko, DEF
44, Arghus, DEF
5, Željko Filipović, MID
6, Welle Ndiaye, MID
8, Sintayehu Sallalich, MID
10, Agim Ibraimi, MID
21, Amir Derviševič, MID
22, Dare Vršič, MID
23, Dino Hotič, MID
25, Ranko Moravac, MID
30, Petar Stojanovič, MID
31, Daniel Vujčič, MID
39, Damjan Bohar, MID
40, Sven Dodlek, MID
70, Aleš Mertelj, MID
92, Matic Črnic, MID
9, Tavares, STR
11, Luka Zahovič, STR
14, Jean-Philippe Mendy, STR
15, Rok Sirk, STR
17, Nusmir Fajić, STR
20, David Biton, STR
27, Alen Ploj, STR
