16, Roberto, GK
33, Lefteris Choutesiotis, GK
42, Balázs Megyeri, GK
2, Giannis Maniatis, DEF
3, Alberto Botía, DEF
14, Omar Elabdellaoui, DEF
20, Kostas Giannoulis, DEF
22, Éric Abidal, DEF
23, Dimitris Siovas, DEF
24, Tassos Avlonitis, DEF
26, Arthur Masuaku, DEF
30, Leandro Salino, DEF
5, Luka Milivojević, MID
6, Ibrahim Afellay, MID
8, Delvin N'Dinga, MID
9, Jimmy Durmaz, MID
10, Alejandro Domínguez, MID
11, Pajtim Kasami, MID
18, Andreas Bouchalakis, MID
19, David Fuster, MID
7, Kostas Mitroglou, STR
17, Dimitris Diamantakos, STR
27, Jorge Benitez, STR
28, Nikos Vergos, STR
