1, Sergei Chepchugov, GK
35, Igor Akinfeev, GK
45, Ilya Pomazun, GK
2, Mário Fernandes, DEF
4, Sergei Ignashevich, DEF
6, Aleksei Berezutski, DEF
14, Kirill Nababkin, DEF
24, Vasili Berezutski, DEF
42, Georgi Schennikov, DEF
91, Nikita Chernov, DEF
3, Pontus Wernbloom, MID
7, Zoran Tošić, MID
10, Alan Dzagoev, MID
15, Dmitri Efremov, MID
19, Aleksandrs Cauņa, MID
20, Rasmus Elm, MID
23, Georgi Milanov, MID
25, Roman Eremenko, MID
66, Bebras Natcho, MID
98, Svyatoslav Georgievski, MID
99, Maksim Martusevich, MID
8, Kirill Panchenko, STR
18, Ahmed Musa, STR
31, Vitinho, STR
43, Aleksandr Makarov, STR
46, Nikolai Dergachev, STR
71, Konstantin Bazelyuk, STR
88, Seydou Doumbia, STR
