1, Emil Gospodinov, GK
21, Vladislav Stoyanov, GK
26, Milan Borjan, GK
5, Alexandre Barthe, DEF
15, Aleksandar Aleksandrov, DEF
16, Brayan Angulo, DEF
25, Yordan Minev, DEF
27, Cosmin Moţi, DEF
37, Ventsislav Kerchev, DEF
55, Georgi Terziev, DEF
80, Júnior Caiçara, DEF
8, Fábio Espinho, MID
12, Anicet Abel, MID
17, Dani Abalo, MID
18, Svetoslav Dyakov, MID
23, Hristo Zlatinski, MID
28, Tomas Tsvyatkov, MID
34, Oleg Dimitrov, MID
38, Kristiyan Kitov, MID
84, Marcelinho, MID
88, Wanderson, MID
7, Mihail Aleksandrov, STR
9, Roman Bezjak, STR
11, Júnior Quixadá, STR
93, Virgil Misidjan, STR
99, Younes Hamza, STR
