1, Nicolas Douchez, GK
16, Mike Maignan, GK
30, Salvatore Sirigu, GK
40, Mory Diaw, GK
2, Thiago Silva, DEF
5, Marquinhos, DEF
6, Zoumana Camara, DEF
17, Maxwell, DEF
19, Serge Aurier, DEF
21, Lucas Digne, DEF
23, Gregory van der Wiel, DEF
32, David Luiz, DEF
4, Yohan Cabaye, MID
7, Lucas, MID
8, Thiago Motta, MID
14, Blaise Matuidi, MID
20, Clément Chantôme, MID
24, Marco Verratti, MID
25, Adrien Rabiot, MID
27, Javier Pastore, MID
9, Edinson Cavani, STR
10, Zlatan Ibrahimović, STR
15, Jean-Christophe Bahebeck, STR
22, Ezequiel Lavezzi, STR
