1, Iker Casillas, GK
13, Keylor Navas, GK
25, Fernando Pacheco, GK
2, Raphaël Varane, DEF
3, Pepe, DEF
4, Sergio Ramos, DEF
5, Fábio Coentrão, DEF
12, Marcelo, DEF
15, Dani Carvajal, DEF
17, Álvaro Arbeloa, DEF
18, Nacho, DEF
28, Guillermo Varela, DEF
30, Abner, DEF
6, Sami Khedira, MID
8, Toni Kroos, MID
10, James Rodríguez, MID
11, Gareth Bale, MID
19, Luka Modrić, MID
23, Isco, MID
24, Asier Illarramendi, MID
7, Cristiano Ronaldo, STR
9, Karim Benzema, STR
14, Javier Hernández, STR
20, Jesé, STR
29, Eero Markkanen, STR
