1, Artur, GK
12, Bruno Varela, GK
13, Paulo Lopes, GK
20, Júlio César, GK
87, Miguel Santos, GK
2, Lisandro López, DEF
4, Luisão, DEF
14, Maxi Pereira, DEF
19, Eliseu, DEF
28, Sílvio, DEF
33, Jardel, DEF
34, André Almeida, DEF
37, César, DEF
60, Rebocho, DEF
63, João Nunes, DEF
65, Fábio Cardoso, DEF
75, Alex Alfaiate, DEF
92, Victor Lindelöf, DEF
7, Andreas Samaris, MID
10, Nicolás Gaitán, MID
18, Eduardo Salvio, MID
23, Loris Benito, MID
24, Bryan Cristante, MID
35, Enzo Pérez, MID
67, Hélder Costa, MID
70, Rochinha, MID
77, Rúben Pinto, MID
97, João Teixeira, MID
9, Derley, STR
11, Lima, STR
15, Ola John, STR
16, Nélson Oliveira, STR
21, Pizzi, STR
30, Talisca, STR
32, Tiago, STR
78, Gonçalo Guedes, STR
