1, Rui Patrício, GK
22, Marcelo, GK
59, Guilherme Oliveira, GK
82, Pedro Silva, GK
88, Vladimir Stojkovic, GK
96, Luís Ribeiro, GK
2, Rami Rabia, DEF
3, Maurício, DEF
4, Jefferson, DEF
26, Paulo Oliveira, DEF
29, Naby Sarr, DEF
33, Jonathan Silva, DEF
41, Cédric, DEF
47, Ricardo Esgaio, DEF
55, Tobias Figueiredo, DEF
57, Domingos Duarte, DEF
58, Mauro Riquicho, DEF
67, Wilson Manafá, DEF
72, Bruno Wilson, DEF
74, Bernardo Carlos, DEF
75, Hugo Meira, DEF
76, Michael Pinto, DEF
79, Serrano, DEF
81, André Geraldes, DEF
8, André Martins, MID
14, William Carvalho, MID
17, João Mário, MID
23, Adrien Silva, MID
24, Oriol Rosell, MID
27, Ryan Gauld, MID
32, Simeon Slavchev, MID
39, Edelino Ié, MID
42, Wallyson Mallmann, MID
43, Carlos Chaby, MID
49, Francisco Geraldes, MID
65, Fábio Martins, MID
80, Rafael Barbosa, MID
9, Islam Slimani, STR
10, Fredy Montero, STR
11, Diego Capel, STR
18, André Carrillo, STR
19, Junya Tanaka, STR
20, Héldon Ramos, STR
25, Hadi Sacko, STR
36, Carlos Mané, STR
38, Cristian, STR
45, Iuri Medeiros, STR
56, Daniel Podence, STR
60, Gelson Martins, STR
62, José Postiga, STR
73, Matheus Pereira, STR
77, Nani, STR
