Source;Target;Weight
10;26;5
10;20;2
10;14;1
10;23;6
10;19;1
10;3;1
10;6;3
10;9;1
10;8;4
10;21;6
26;10;3
26;21;4
26;23;7
26;19;6
26;37;2
26;6;1
26;8;19
26;14;4
20;10;3
20;21;7
20;23;6
20;1;2
20;3;10
20;6;5
20;9;1
20;8;2
14;8;2
14;26;5
14;23;3
14;20;1
14;6;3
23;10;11
23;26;15
23;20;6
23;14;2
23;19;3
23;37;2
23;3;6
23;6;8
23;8;8
23;21;13
19;10;2
19;26;6
19;21;5
19;23;5
19;37;1
19;1;1
19;3;5
19;6;4
19;8;8
37;19;2
37;23;1
37;6;1
1;26;2
1;20;1
1;21;3
1;19;9
1;3;13
1;6;1
1;9;1
1;8;1
3;10;7
3;26;2
3;20;5
3;14;2
3;23;12
3;19;2
3;37;1
3;1;5
3;6;14
3;9;1
3;8;9
3;21;8
6;10;2
6;26;4
6;20;9
6;14;1
6;23;13
6;19;2
6;3;10
6;9;1
6;8;3
6;21;2
9;8;1
9;23;1
9;10;1
9;6;1
8;10;6
8;26;10
8;20;4
8;14;5
8;23;9
8;19;3
8;3;9
8;9;2
8;21;5
21;10;8
21;26;4
21;20;10
21;14;2
21;23;6
21;19;4
21;1;1
21;3;7
21;6;11
21;9;2
21;8;8
