Source;Target;Weight
24;9;2
24;8;3
24;20;1
24;33;1
24;7;3
25;24;5
25;20;5
25;33;1
25;15;2
25;3;2
25;4;1
25;9;2
25;8;2
20;24;1
20;25;2
20;15;2
20;21;1
20;33;9
20;31;1
20;3;2
20;4;3
20;7;3
20;6;4
20;9;7
20;8;6
21;24;2
21;25;2
21;20;4
21;15;1
21;3;2
21;4;1
21;7;7
21;6;3
21;9;1
21;8;2
33;20;10
33;15;1
33;3;2
33;4;1
33;9;7
33;8;3
31;8;2
31;15;1
15;9;2
15;33;1
15;7;2
3;24;2
3;25;2
3;15;1
3;21;4
3;7;9
3;6;1
3;8;1
4;24;1
4;25;5
4;20;6
4;21;3
4;33;1
4;3;1
4;6;1
4;8;2
7;20;5
7;21;6
7;33;1
7;3;7
7;4;1
7;6;2
7;9;5
6;24;2
6;25;2
6;15;1
6;21;1
6;33;2
6;3;6
6;4;1
6;7;2
6;9;2
6;8;5
9;24;2
9;20;2
9;33;5
9;31;1
9;15;1
9;3;1
9;4;1
9;7;1
9;6;4
9;8;1
8;24;3
8;25;2
8;20;13
8;21;2
8;33;2
8;31;2
8;3;1
8;4;3
8;7;5
8;6;4
8;9;1
