Source;Target;Weight
24;20;1
24;14;2
24;1;2
24;3;1
24;2;4
24;6;2
10;20;1
10;14;2
10;3;9
10;2;1
10;4;1
10;6;19
10;9;2
10;8;1
20;24;1
20;10;2
20;14;6
20;3;1
20;2;1
20;4;1
20;6;1
20;9;1
20;8;5
14;24;3
14;10;1
14;20;7
14;3;3
14;2;2
14;4;2
14;6;2
14;8;3
1;24;1
1;10;1
1;20;2
1;2;1
1;6;1
1;9;1
1;8;1
3;9;1
3;10;14
3;4;1
3;14;2
3;6;4
2;24;2
2;10;3
2;20;3
2;14;1
2;1;2
2;3;2
2;4;1
2;6;4
4;24;2
4;10;2
4;20;1
4;14;1
4;2;2
4;6;6
6;24;2
6;10;12
6;20;2
6;14;1
6;3;11
6;2;3
6;4;3
6;9;2
6;8;2
9;10;4
9;3;1
9;20;1
8;9;1
8;10;1
8;3;2
8;20;2
8;14;1
