Passing distribution,,,,,,,,,,,,,,,,,,,,,,
Matchday 6 - Tuesday 9 December 2014,,,,,,,,,,,,,,,,,,,,,,
Group A - Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,0 - 0,,,,,,Club Atlético de Madrid,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,10,14,19,21,23,26,33,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,91'15,,5,-,-,1,3,1,1,1,2,-,2,3,10,10,2,2,14,15,0.93
Giorgio Chiellini,3,91'15,7,,9,6,3,31,19,5,6,27,6,19,19,84,85,16,18,119,122,0.98
Paul Pogba,6,91'15,-,6,,10,2,6,3,1,8,16,3,5,6,40,43,10,12,55,61,0.9
Carlos Tévez,10,91'15,-,3,8,,2,4,8,3,6,9,2,4,5,31,34,10,10,45,49,0.92
Fernando Llorente,14,91'15,-,-,2,2,,-,-,2,1,1,1,0,0,5,6,4,5,9,11,0.82
Leonardo Bonucci,19,91'15,1,38,9,3,-,,15,15,23,1,8,9,12,92,93,12,12,113,117,0.97
Andrea Pirlo,21,91'15,1,18,5,6,-,20,,9,7,7,5,16,17,51,52,11,11,78,80,0.98
Arturo Vidal,23,91'15,-,7,3,6,5,12,2,,7,10,5,11,13,41,43,5,6,57,62,0.92
Stephan Lichtsteiner,26,91'15,1,2,1,1,-,24,7,12,,2,3,0,3,46,46,7,7,53,56,0.95
Patrice Evra,33,91'15,2,17,21,9,1,1,8,4,1,,3,3,3,48,51,16,16,67,70,0.96
Roberto Pereyra,37,91'15,-,6,5,4,-,7,2,5,4,2,,4,4,28,28,3,4,35,36,0.97
Total passes received:,,,12,102,63,47,14,108,65,57,64,77,36,73,85,476 491,,96,103,645,679,0.95
,,,To,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,6,8,9,10,14,20,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Miguel Ángel Moyà,1,91'15,,1,-,-,1,1,1,1,-,2,1,4,7,4,4,0,0,8,11,0.73
Diego Godín,2,91'15,2,,2,1,4,-,-,3,1,3,2,5,7,13,14,0,1,18,22,0.82
Guilherme Siqueira,3,91'15,-,-,,1,4,-,1,14,2,-,-,1,3,13,15,8,8,22,26,0.85
Mario Suárez,4,91'15,-,2,-,,6,-,-,2,1,1,2,0,0,8,9,6,6,14,15,0.93
Koke,6,91'15,-,3,11,3,,2,2,12,1,2,2,2,2,21,21,15,20,38,43,0.88
Raúl García,8,91'15,-,-,2,-,-,,1,1,1,2,-,0,0,5,7,2,2,7,9,0.78
Mario Mandžukić,9,91'15,-,-,1,-,-,-,,4,-,1,-,0,0,3,3,3,5,6,8,0.75
Arda Turan,10,91'15,-,1,9,1,19,1,2,,2,1,-,1,1,10,13,25,28,36,42,0.86
Gabi,14,91'15,-,2,3,2,2,3,-,1,,7,3,3,4,15,15,5,6,23,25,0.92
Juanfran,20,91'15,-,1,1,1,1,5,1,2,6,,1,0,1,11,12,8,12,19,25,0.76
José María Giménez,24,91'15,2,4,1,-,2,-,-,-,2,1,,2,3,10,10,0,1,12,14,0.86
Total passes received:,,,4,14,30,9,39,12,8,40,16,20,11,18,28,113 123,,72,89,203,240,0.85
,,,,,,,,,,,,,,,,,,,,,,01:04:21CET
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,10 Dec 2014
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,
