Source;Target;Weight
1;3;1
1;13;2
1;15;6
1;16;1
1;19;2
1;27;1
1;34;4
3;1;3
3;8;3
3;13;3
3;15;9
3;16;3
3;19;1
3;27;10
3;34;5
8;3;5
8;11;7
8;13;3
8;15;3
8;16;5
8;17;1
8;19;1
8;27;6
8;34;9
11;3;1
11;8;1
11;13;2
11;15;3
11;16;1
11;17;8
11;19;4
11;27;1
11;34;3
13;3;1
13;8;6
13;11;2
13;16;3
13;17;3
13;19;6
13;27;3
13;34;2
13;6;1
13;10;1
15;1;6
15;3;8
15;8;9
15;11;2
15;16;1
15;17;9
15;19;1
15;34;6
16;8;7
16;11;1
16;13;6
16;15;1
16;17;2
16;19;1
16;27;4
16;34;6
16;10;1
17;1;1
17;8;2
17;11;5
17;13;9
17;15;6
17;16;1
17;19;4
17;34;11
19;1;1
19;3;1
19;8;3
19;11;6
19;13;4
19;16;1
19;17;1
19;27;1
19;34;1
19;10;1
19;28;2
27;1;2
27;3;6
27;11;1
27;13;4
27;16;10
27;19;3
27;34;4
27;28;1
34;1;6
34;3;6
34;8;6
34;11;2
34;13;3
34;15;9
34;16;3
34;17;5
34;19;3
34;27;10
6;13;1
6;10;1
10;13;3
10;17;1
10;6;1
10;28;1
28;13;1
28;6;1
