Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,0 - 0,,,,VfL Borussia Mönchengladbach,,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,9,10,12,15,16,17,19,7,21,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,"93'09""",,7,-,-,1,2,3,8,-,1,2,-,-,-,7,9,17,17,0,0,24,26,92%
Giorgio Chiellini,3,"93'09""",4,,3,7,2,3,15,3,-,-,18,-,1,1,3,4,48,50,6,7,57,61,93%
Sami Khedira,6,"93'09""",-,2,,2,1,3,1,8,2,1,3,-,-,2,0,2,18,24,7,8,25,34,74%
Claudio Marchisio,8,"93'09""",-,8,2,,1,5,10,8,-,2,7,1,-,2,10,10,31,32,5,5,46,47,98%
Álvaro Morata,9,"80'05""",-,1,1,3,,3,6,1,3,1,-,-,-,-,2,3,6,9,11,11,19,23,83%
Paul Pogba,10,"93'09""",-,5,2,6,8,,11,1,1,6,6,1,-,4,2,2,27,29,22,28,51,59,86%
Alex Sandro,12,"93'09""",7,9,-,5,6,17,,1,-,-,6,-,-,1,4,4,36,37,12,16,52,57,91%
Andrea Barzagli,15,"93'09""",2,1,9,2,4,2,1,,10,2,14,1,1,6,3,4,46,49,6,11,55,64,86%
Juan Cuadrado,16,"60'03""",-,-,5,2,6,2,1,3,,-,1,-,-,-,1,1,14,15,5,6,20,22,91%
Mario Mandžukić,17,"69'52""",-,-,2,2,2,5,1,-,1,,-,-,-,1,1,1,4,5,9,10,14,16,88%
Leonardo Bonucci,19,"93'09""",1,16,5,5,2,8,2,15,2,2,,2,1,2,14,18,44,45,5,6,63,69,91%
Simone Zaza,7,"23'18""",-,-,2,-,-,1,1,2,-,-,-,,-,-,1,1,2,4,3,3,6,8,75%
Paulo Dybala 21,,"13'04""",-,-,-,-,-,-,-,-,-,-,-,2,,-,1,2,1,1,0,0,2,3,67%
Roberto Pereyra 37,,"33'06""",-,1,1,2,-,2,-,5,-,-,1,3,1,,2,2,10,10,4,6,16,18,89%
Total passes received:,,,14,50,32,36,33,53,52,55,19,15,58,10,4,19,51,63,304 327,,95,117,450,507,89%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,8,11,13,15,16,17,19,27,34,6,10,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Yann Sommer,1,"93'09""",,1,-,-,2,6,1,-,2,1,4,-,-,-,5,21,11,11,1,1,17,33,52%
Andreas Christensen,3,"93'09""",3,,3,-,3,9,3,-,1,10,5,-,-,-,5,5,27,27,5,5,37,37,100%
Mahmoud Dahoud,8,"87'03""",-,5,,7,3,3,5,1,1,6,9,-,-,-,6,7,25,27,9,10,40,44,91%
Raffael,11,"73'56""",-,1,1,,2,3,1,8,4,1,3,-,-,-,1,1,12,13,11,11,24,25,96%
Lars Stindl,13,"93'09""",-,1,6,2,,-,3,3,6,3,2,1,1,-,2,2,13,17,13,19,28,38,74%
Álvaro Domínguez,15,"93'09""",6,8,9,2,-,,1,9,1,-,6,-,-,-,1,5,38,38,3,5,42,48,88%
Ibrahima Traoré,16,"81'46""",-,-,7,1,6,1,,2,1,4,6,-,1,-,1,5,21,22,7,10,29,37,78%
Oscar Wendt,17,"93'09""",1,-,2,5,9,6,1,,4,-,11,-,-,-,1,1,27,28,11,14,39,43,91%
Fabian Johnson,19,"93'09""",1,1,3,6,4,-,1,1,,1,1,-,1,2,0,1,14,16,8,12,22,29,76%
Julian Korb,27,"93'09""",2,6,-,1,4,-,10,-,3,,4,-,-,1,1,4,22,26,8,13,31,43,72%
Granit Xhaka,34,"93'09""",6,6,6,2,3,9,3,5,3,10,,-,-,-,9,13,34,34,10,11,53,58,91%
Håvard Nordtveit,6,"6'06""",-,-,-,-,1,-,-,-,-,-,-,,1,-,0,0,1,2,1,1,2,3,67%
Thorgan Hazard 10,,"19'13""",-,-,-,-,3,-,-,1,-,-,-,1,,1,0,1,2,2,4,4,6,7,86%
André Hahn 28,,"11'24""",-,-,-,-,1,-,-,-,-,-,-,1,-,,0,0,2,3,0,0,2,3,67%
Total passes received:,,,19,29,37,26,41,37,29,30,26,36,51,3,4,4,32,66,249 266,,91,116,372,448,83%
,,,,,,,,,,,,,,,,,,,,,,,,00:54:41CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
