Source;Target;Weight
10;25;9
10;13;10
10;17;1
10;19;8
10;18;2
10;31;4
10;3;2
10;9;1
13;10;15
13;27;9
13;17;12
13;25;3
13;19;9
13;18;3
13;31;9
13;28;1
13;1;3
13;3;9
13;7;1
13;9;1
27;13;2
27;17;4
27;18;19
27;31;5
27;28;2
27;1;12
27;3;19
27;7;13
27;9;2
17;10;4
17;13;13
17;27;7
17;25;3
17;19;4
17;18;2
17;31;1
17;28;1
17;1;9
17;3;6
17;7;1
17;9;1
25;10;5
25;13;7
25;27;1
25;17;2
25;19;1
25;18;1
25;31;1
25;3;2
25;7;4
19;10;11
19;13;11
19;27;1
19;17;3
19;25;6
19;18;2
19;31;5
19;3;7
19;7;3
18;25;2
18;27;13
18;19;2
18;31;8
18;28;2
18;3;9
18;7;15
31;10;3
31;13;7
31;27;5
31;17;2
31;25;2
31;19;1
31;18;8
31;3;3
31;7;9
31;9;3
28;1;3
28;18;2
28;27;2
28;9;1
28;17;2
1;10;2
1;13;4
1;27;13
1;17;6
1;19;1
1;18;2
1;28;2
1;3;3
1;7;1
3;10;3
3;13;5
3;27;18
3;17;8
3;25;6
3;19;17
3;18;9
3;31;8
3;1;1
3;7;5
7;10;4
7;13;1
7;27;4
7;25;3
7;19;4
7;18;4
7;31;10
7;28;1
7;1;1
7;3;6
7;9;1
9;13;2
9;7;3
